100
P 0 0.010
B 0 2 2
B 0 3 12
B 0 4 1
B 0 7 1
B 0 8 2
B 0 12 1
B 0 13 4
B 0 14 4
B 0 15 4
B 0 16 5
B 0 17 1
B 0 18 2
B 0 20 3
B 0 21 7
B 0 23 3
B 0 24 1
B 0 26 5
B 0 27 3
B 0 28 4
B 0 29 3
B 0 30 5
B 0 31 3
B 0 32 13
B 0 33 3
B 0 36 4
B 0 39 1
B 0 41 2
B 0 42 1
B 0 43 1
B 0 44 5
B 0 45 4
B 0 47 1
B 0 48 1
B 0 49 2
B 0 51 1
B 0 53 1
B 0 54 1
B 0 55 2
B 0 57 1
B 0 58 2
B 0 59 1
B 0 61 1
B 0 62 1
B 0 63 1
B 0 65 1
B 0 68 3
B 0 70 2
B 0 73 1
P 1 0.010
B 1 14 1
B 1 24 1
B 1 32 1
B 1 36 1
B 1 42 2
B 1 63 1
B 1 66 1
P 2 0.010
B 2 3 2
B 2 13 1
B 2 21 1
B 2 31 2
B 2 33 1
B 2 42 1
B 2 44 1
B 2 45 1
B 2 70 1
B 2 72 2
P 3 0.010
B 3 2 1
B 3 3 1
B 3 13 2
B 3 21 1
B 3 22 1
B 3 23 1
B 3 29 1
B 3 45 1
B 3 54 1
B 3 59 1
B 3 60 1
B 3 67 1
P 4 0.010
B 4 3 1
B 4 14 1
B 4 15 2
B 4 21 1
B 4 29 1
B 4 34 2
B 4 37 1
B 4 42 1
B 4 72 1
P 5 0.010
B 5 11 1
B 5 15 1
B 5 21 1
B 5 28 1
B 5 29 1
B 5 31 1
B 5 32 1
B 5 42 2
B 5 44 1
P 6 0.010
B 6 8 1
B 6 15 1
B 6 16 2
B 6 22 1
B 6 27 1
B 6 30 1
B 6 32 2
B 6 36 1
B 6 37 1
B 6 40 1
B 6 44 2
B 6 49 1
B 6 52 1
B 6 72 1
P 7 0.010
B 7 3 1
B 7 9 1
B 7 11 1
B 7 17 1
B 7 32 1
B 7 33 1
B 7 42 1
B 7 43 1
B 7 44 1
B 7 53 1
P 8 0.010
B 8 14 1
B 8 15 1
B 8 20 1
B 8 21 1
B 8 22 2
B 8 25 1
B 8 28 1
B 8 29 1
B 8 33 1
B 8 49 1
B 8 57 1
B 8 66 1
P 9 0.010
B 9 3 1
B 9 5 1
B 9 13 1
B 9 15 1
B 9 19 2
B 9 25 1
B 9 30 1
B 9 38 1
B 9 42 1
B 9 44 1
P 10 0.010
B 10 3 1
B 10 13 1
B 10 23 1
B 10 24 1
B 10 28 1
B 10 49 1
B 10 57 2
P 11 0.010
B 11 3 1
B 11 13 1
B 11 15 1
B 11 28 1
B 11 30 1
B 11 31 1
B 11 44 1
B 11 57 1
B 11 59 1
P 12 0.010
B 12 2 1
B 12 16 1
B 12 17 2
B 12 20 1
B 12 21 1
B 12 28 1
B 12 31 2
B 12 36 1
B 12 42 1
B 12 44 1
P 13 0.010
B 13 0 1
B 13 8 1
B 13 13 1
B 13 14 1
B 13 17 3
B 13 25 1
B 13 26 2
B 13 29 1
B 13 30 1
B 13 42 1
B 13 49 1
B 13 65 1
B 13 72 2
P 14 0.010
B 14 14 1
B 14 15 1
B 14 33 1
B 14 40 1
B 14 45 2
B 14 72 1
P 15 0.010
B 15 5 1
B 15 15 1
B 15 25 1
B 15 28 2
