100
P 0 0.010
B 0 2 7
B 0 3 8
B 0 4 1
B 0 6 8
B 0 7 1
B 0 11 4
B 0 12 4
B 0 13 1
B 0 14 5
B 0 15 1
B 0 16 1
B 0 17 1
B 0 18 1
B 0 19 8
B 0 20 1
B 0 21 3
B 0 22 3
B 0 23 6
B 0 24 2
B 0 25 2
B 0 26 8
B 0 28 2
B 0 29 3
B 0 30 1
B 0 31 4
B 0 32 4
B 0 34 6
B 0 35 2
B 0 36 3
B 0 37 6
B 0 38 1
B 0 39 4
B 0 40 3
B 0 41 2
B 0 42 6
B 0 43 2
B 0 44 2
B 0 46 3
B 0 49 1
B 0 50 2
B 0 51 1
B 0 53 1
B 0 54 3
B 0 56 1
B 0 57 1
B 0 58 1
B 0 59 2
B 0 60 2
B 0 64 2
B 0 66 1
B 0 67 2
B 0 70 2
B 0 71 3
B 0 73 2
B 0 74 3
B 0 76 1
B 0 78 2
B 0 81 1
B 0 95 1
B 0 97 4
B 0 99 3
B 0 100 2
P 1 0.010
B 1 3 3
B 1 5 1
B 1 12 2
B 1 14 1
B 1 19 1
B 1 21 3
B 1 22 1
B 1 23 1
B 1 25 2
B 1 28 1
B 1 29 1
B 1 30 2
B 1 31 1
B 1 33 1
B 1 36 4
B 1 38 1
B 1 39 1
B 1 40 2
B 1 42 2
B 1 46 1
B 1 54 1
B 1 56 1
B 1 57 1
B 1 60 1
B 1 64 1
B 1 68 1
B 1 70 1
B 1 71 2
B 1 76 1
B 1 81 1
B 1 87 2
B 1 90 1
B 1 97 1
B 1 98 1
B 1 99 2
B 1 100 2
P 2 0.010
B 2 0 1
B 2 2 2
B 2 3 3
B 2 6 3
B 2 11 2
B 2 14 5
B 2 17 1
B 2 21 3
B 2 23 4
B 2 25 1
B 2 28 3
B 2 29 3
B 2 30 3
B 2 33 1
B 2 35 1
B 2 38 1
B 2 39 1
B 2 44 2
B 2 45 1
B 2 58 1
B 2 59 1
B 2 60 2
B 2 68 1
B 2 69 2
B 2 70 1
B 2 75 2
B 2 77 1
B 2 78 2
B 2 81 1
B 2 87 1
B 2 93 1
B 2 95 1
B 2 96 1
B 2 97 1
B 2 99 2
B 2 100 1
P 3 0.010
B 3 6 1
B 3 11 3
B 3 14 2
B 3 19 1
B 3 21 3
B 3 22 1
B 3 23 1
B 3 24 2
B 3 28 1
B 3 30 1
B 3 33 1
B 3 37 1
B 3 38 3
B 3 39 1
B 3 41 1
B 3 46 1
B 3 49 1
B 3 51 1
B 3 60 1
B 3 64 2
B 3 67 1
B 3 80 1
B 3 87 1
B 3 92 1
B 3 97 1
P 4 0.010
B 4 1 1
B 4 2 1
B 4 3 1
B 4 6 1
B 4 11 1
B 4 12 1
B 4 14 1
B 4 15 1
B 4 19 2
B 4 20 1
B 4 22 1
B 4 23 2
B 4 24 1
B 4 26 2
B 4 29 1
B 4 31 1
B 4 33 1
B 4 36 3
B 4 41 2
B 4 42 1
B 4 44 1
B 4 53 1
B 4 54 2
B 4 69 2
B 4 70 1
B 4 73 1
B 4 75 1
B 4 78 1
B 4 94 2
B 4 95 1
B 4 97 1
B 4 98 1
P 5 0.010
B 5 2 1
B 5 3 1
B 5 12 2
B 5 13 1
B 5 14 3
B 5 15 1
B 5 19 3
