100
P 0 0.010
B 0 1 2
B 0 2 5
B 0 3 3
B 0 5 1
B 0 6 1
B 0 11 7
B 0 12 3
B 0 13 1
B 0 14 7
B 0 16 1
B 0 19 8
B 0 20 1
B 0 21 3
B 0 22 4
B 0 23 9
B 0 24 5
B 0 25 5
B 0 26 3
B 0 28 3
B 0 29 5
B 0 30 4
B 0 31 6
B 0 32 3
B 0 33 2
B 0 34 2
B 0 35 3
B 0 36 6
B 0 37 5
B 0 38 1
B 0 39 4
B 0 40 6
B 0 41 3
B 0 42 1
B 0 43 1
B 0 44 2
B 0 46 1
B 0 47 3
B 0 49 1
B 0 50 1
B 0 52 1
B 0 53 3
B 0 54 5
B 0 56 6
B 0 57 2
B 0 58 1
B 0 59 8
B 0 60 4
B 0 63 1
B 0 64 2
B 0 65 2
B 0 66 1
B 0 67 2
B 0 68 1
B 0 69 3
B 0 71 1
B 0 72 2
B 0 73 1
B 0 77 1
B 0 78 3
B 0 80 1
B 0 85 1
B 0 86 1
B 0 87 1
B 0 88 2
B 0 94 1
B 0 95 1
B 0 97 3
B 0 98 1
B 0 99 2
P 1 0.010
B 1 2 1
B 1 3 1
B 1 6 1
B 1 11 1
B 1 12 1
B 1 13 1
B 1 14 4
B 1 17 1
B 1 19 3
B 1 21 2
B 1 24 3
B 1 29 1
B 1 30 1
B 1 31 1
B 1 35 1
B 1 37 1
B 1 38 1
B 1 39 1
B 1 49 1
B 1 54 1
B 1 56 2
B 1 58 3
B 1 59 2
B 1 66 1
B 1 69 1
B 1 73 1
B 1 76 1
B 1 77 1
B 1 78 1
B 1 82 1
B 1 92 1
B 1 94 1
B 1 95 1
B 1 99 1
B 1 100 1
P 2 0.010
B 2 2 3
B 2 3 2
B 2 6 3
B 2 12 2
B 2 14 2
B 2 19 5
B 2 21 2
B 2 22 1
B 2 23 1
B 2 24 1
B 2 26 2
B 2 27 1
B 2 30 2
B 2 33 1
B 2 39 1
B 2 40 1
B 2 41 1
B 2 43 1
B 2 50 1
B 2 54 2
B 2 56 1
B 2 59 1
B 2 64 1
B 2 71 1
B 2 73 1
B 2 75 1
B 2 76 1
B 2 78 1
B 2 81 1
B 2 82 1
B 2 90 1
B 2 99 2
P 3 0.010
B 3 3 1
B 3 6 1
B 3 12 2
B 3 13 1
B 3 16 1
B 3 19 1
B 3 21 2
B 3 24 2
B 3 25 1
B 3 26 1
B 3 29 2
B 3 30 1
B 3 31 2
B 3 32 1
B 3 33 1
B 3 34 1
B 3 36 1
B 3 41 1
B 3 42 1
B 3 44 2
B 3 46 1
B 3 47 1
B 3 49 1
B 3 50 1
B 3 54 2
B 3 56 3
B 3 58 2
B 3 64 2
B 3 68 2
B 3 75 1
B 3 76 1
B 3 80 1
B 3 97 2
B 3 100 1
P 4 0.010
B 4 3 1
B 4 6 1
B 4 12 2
B 4 14 1
B 4 19 1
B 4 21 2
B 4 23 2
B 4 24 2
B 4 29 2
B 4 35 2
B 4 36 3
B 4 38 3
B 4 39 2
B 4 40 1
B 4 45 1
B 4 46 1
B 4 47 1
B 4 49 1
B 4 55 1
B 4 59 1
B 4 60 1
B 4 62 1
B 4 65 1
B 4 69 1
B 4 72 1
B 4 73 1
B 4 81 2
B 4 86 1
B 4 95 1
B 4 99 2
P 5 0.010
B 5 3 1
B 5 6 2
B 5 11 1
B 5 12 1
B 5 14 4
B 5 19 3
B 5 21 1
B 5 22 1
B 5 23 2
B 5 25 1
B 5 26 1
B 5 31 1
B 5 34 2
B 5 35 2
B 5 37 1
B 5 39 1
B 5 41 1
B 5 42 1
B 5 44 1
B 5 46 1
B 5 47 1
B 5 49 1
B 5 54 2
B 5 59 1
B 5 62 1
B 5 65 2
B 5 70 1
B 5 74 1
B 5 78 1
B 5 90 1
B 5 93 1
B 5 100 1
P 6 0.010
B 6 2 2
B 6 3 2
B 6 6 1
B 6 14 2
B 6 26 1
B 6 28 1
B 6 31 2
B 6 37 2
B 6 40 1
B 6 44 1
B 6 46 1
B 6 47 1
B 6 50 1
B 6 53 1
B 6 54 2
B 6 65 1
B 6 66 1
B 6 70 1
B 6 72 1
B 6 93 1
B 6 96 1
B 6 99 1
B 6 100 1
P 7 0.010
B 7 2 1
B 7 3 1
B 7 6 1
B 7 12 2
B 7 14 2
B 7 16 1
B 7 19 1
B 7 21 2
B 7 23 1
B 7 26 1
B 7 29 1
B 7 35 1
B 7 36 1
B 7 37 1
B 7 39 1
B 7 40 1
B 7 44 1
B 7 49 1
B 7 54 1
B 7 55 1
B 7 59 1
B 7 60 1
B 7 62 1
B 7 64 2
B 7 68 1
B 7 75 1
B 7 80 1
B 7 81 1
B 7 89 1
P 8 0.010
B 8 2 1
B 8 3 1
B 8 8 1
B 8 14 4
B 8 19 1
B 8 21 1
B 8 22 1
B 8 23 1
B 8 26 1
B 8 28 1
B 8 30 1
B 8 34 1
B 8 35 1
B 8 38 1
B 8 40 2
B 8 41 1
B 8 46 2
B 8 50 1
B 8 56 2
B 8 59 2
B 8 61 1
B 8 64 1
B 8 70 1
B 8 75 1
B 8 76 1
B 8 82 1
B 8 83 1
B 8 88 1
B 8 91 1
B 8 95 1
B 8 99 1
P 9 0.010
B 9 2 1
B 9 4 1
B 9 6 2
B 9 12 1
B 9 14 2
B 9 17 1
B 9 19 3
B 9 21 1
B 9 22 1
B 9 23 2
B 9 24 1
B 9 31 1
B 9 32 1
B 9 38 1
B 9 39 1
B 9 40 1
B 9 41 2
B 9 44 2
B 9 47 1
B 9 48 1
B 9 59 4
B 9 60 1
B 9 69 2
B 9 80 2
B 9 97 1
B 9 100 1
P 10 0.010
B 10 0 1
B 10 2 1
B 10 3 2
B 10 6 1
B 10 11 1
B 10 12 3
B 10 14 1
B 10 16 1
B 10 19 1
B 10 21 1
B 10 23 1
B 10 25 1
B 10 26 1
B 10 29 2
B 10 38 2
B 10 39 1
B 10 40 1
B 10 42 1
B 10 54 3
B 10 58 1
B 10 60 1
B 10 66 1
B 10 70 1
B 10 81 1
B 10 84 1
B 10 95 2
B 10 100 1
P 11 0.010
B 11 3 2
B 11 10 1
B 11 11 1
B 11 19 2
B 11 21 2
B 11 23 1
B 11 25 1
B 11 26 1
B 11 28 1
B 11 29 3
B 11 39 3
B 11 40 1
B 11 41 1
B 11 44 1
B 11 53 1
B 11 57 1
B 11 59 1
B 11 60 2
B 11 64 1
B 11 68 1
B 11 73 1
B 11 75 1
B 11 77 1
B 11 78 2
B 11 80 3
B 11 84 1
B 11 88 1
B 11 100 1
P 12 0.010
B 12 2 1
B 12 6 1
B 12 11 1
B 12 14 2
B 12 19 2
B 12 22 1
B 12 23 1
B 12 24 1
B 12 30 1
B 12 31 2
B 12 34 1
B 12 35 1
B 12 40 1
B 12 42 1
B 12 44 2
B 12 47 2
B 12 49 2
B 12 54 1
B 12 59 2
B 12 60 1
B 12 70 1
B 12 71 1
B 12 83 1
B 12 86 1
B 12 95 1
B 12 97 2
P 13 0.010
B 13 3 1
B 13 6 1
B 13 14 4
B 13 19 2
B 13 20 1
B 13 21 1
B 13 22 1
B 13 23 1
B 13 24 1
B 13 25 1
B 13 26 3
B 13 29 1
B 13 32 2
B 13 33 1
B 13 34 1
B 13 35 1
B 13 37 1
B 13 38 2
B 13 39 1
B 13 42 1
B 13 44 1
B 13 49 1
B 13 60 2
B 13 64 1
B 13 67 1
B 13 69 1
B 13 82 1
B 13 95 1
B 13 97 3
P 14 0.010
B 14 3 2
B 14 6 2
B 14 13 1
B 14 14 1
B 14 16 2
B 14 19 1
B 14 21 1
B 14 23 1
B 14 25 2
B 14 26 1
B 14 29 1
B 14 30 1
B 14 33 1
B 14 39 1
B 14 41 1
B 14 44 1
B 14 56 1
