100
P 0 0.010
B 0 2 3
B 0 3 5
B 0 5 1
B 0 7 1
B 0 8 4
B 0 13 4
B 0 14 5
B 0 15 7
B 0 18 4
B 0 20 1
B 0 21 1
B 0 22 1
B 0 23 6
B 0 24 3
B 0 25 3
B 0 26 1
B 0 27 5
B 0 28 6
B 0 29 1
B 0 30 1
B 0 31 4
B 0 32 2
B 0 33 2
B 0 34 1
B 0 36 1
B 0 37 1
B 0 41 2
B 0 42 4
B 0 43 2
B 0 44 3
B 0 45 2
B 0 46 1
B 0 50 1
B 0 51 2
B 0 53 1
B 0 55 1
B 0 56 2
B 0 57 3
B 0 58 1
B 0 59 1
B 0 61 1
B 0 63 3
B 0 66 1
B 0 70 2
B 0 71 1
B 0 72 7
B 0 73 1
P 1 0.010
B 1 3 2
B 1 15 3
B 1 21 1
B 1 22 1
B 1 32 1
B 1 43 1
P 2 0.010
B 2 3 2
B 2 14 1
B 2 15 2
B 2 18 1
B 2 26 1
B 2 27 1
B 2 31 1
B 2 33 1
B 2 36 1
B 2 42 1
B 2 45 1
B 2 49 1
B 2 63 1
B 2 65 1
P 3 0.010
B 3 3 1
B 3 8 1
B 3 15 1
B 3 16 2
B 3 18 1
B 3 23 1
B 3 44 1
B 3 45 1
P 4 0.010
B 4 14 1
B 4 16 1
B 4 20 1
B 4 23 1
B 4 27 1
B 4 29 1
B 4 31 2
B 4 36 1
B 4 66 1
B 4 70 1
B 4 72 1
P 5 0.010
B 5 8 1
B 5 23 1
B 5 26 1
B 5 27 1
B 5 28 2
B 5 42 1
B 5 44 1
B 5 49 1
B 5 57 1
B 5 61 1
B 5 70 1
P 6 0.010
B 6 3 1
B 6 15 1
B 6 17 1
B 6 24 1
B 6 29 1
B 6 31 1
B 6 42 2
B 6 44 1
B 6 58 1
B 6 63 1
B 6 70 1
B 6 72 1
P 7 0.010
B 7 17 1
B 7 32 1
B 7 36 1
B 7 42 2
B 7 44 1
P 8 0.010
B 8 2 1
B 8 8 1
B 8 17 1
B 8 24 1
B 8 26 1
B 8 29 1
B 8 30 1
B 8 31 1
B 8 34 1
B 8 41 1
B 8 44 2
B 8 53 1
B 8 54 1
B 8 60 1
B 8 63 1
B 8 72 2
P 9 0.010
B 9 2 1
B 9 6 1
B 9 12 1
B 9 13 1
B 9 14 1
B 9 15 1
B 9 16 1
B 9 21 1
B 9 36 2
B 9 44 1
B 9 56 1
B 9 60 2
B 9 70 1
P 10 0.010
B 10 17 1
B 10 22 1
B 10 26 1
B 10 27 1
B 10 28 1
B 10 29 1
B 10 31 1
B 10 44 2
B 10 50 1
B 10 54 1
B 10 59 1
B 10 70 1
B 10 73 1
P 11 0.010
B 11 0 1
B 11 2 2
B 11 3 1
B 11 18 1
B 11 21 1
B 11 26 1
B 11 31 1
B 11 32 1
B 11 44 1
B 11 45 1
B 11 49 1
B 11 50 1
B 11 54 1
B 11 59 2
B 11 60 1
B 11 70 1
P 12 0.010
B 12 0 1
B 12 23 1
B 12 27 1
B 12 31 1
B 12 44 1
B 12 48 1
P 13 0.010
B 13 16 1
B 13 17 1
B 13 26 1
B 13 28 1
B 13 30 1
B 13 36 1
B 13 42 2
B 13 53 1
B 13 68 1
P 14 0.010
B 14 3 1
B 14 17 1
B 14 21 1
B 14 26 1
B 14 28 1
B 14 30 1
B 14 32 3
B 14 42 2
B 14 44 1
B 14 60 1
B 14 72 1
P 15 0.010
B 15 16 1
B 15 17 1
B 15 18 1
B 15 23 1
B 15 27 1
B 15 32 1
B 15 45 1
B 15 48 1
B 15 49 1
B 15 55 1
P 16 0.010
B 16 18 1
B 16 20 1
B 16 21 1
B 16 22 1
B 16 27 1
B 16 30 1
B 16 42 1
B 16 45 1
B 16 72 3
P 17 0.010
B 17 3 1
B 17 8 1
B 17 14 1
B 17 15 1
B 17 18 1
B 17 24 1
B 17 26 1
B 17 28 1
B 17 29 1
B 17 31 1
B 17 36 1
B 17 42 1
B 17 44 1
B 17 45 1
P 18 0.010
B 18 2 1
B 18 15 1
B 18 22 1
B 18 26 1
B 18 29 1
B 18 32 1
B 18 47 1
B 18 52 1
B 18 55 1
B 18 56 1
P 19 0.010
B 19 14 1
B 19 18 2
B 19 21 1
B 19 22 1
B 19 28 1
B 19 33 1
B 19 42 1
B 19 44 1
B 19 45 1
B 19 53 1
B 19 60 1
P 20 0.010
B 20 13 1
B 20 28 1
B 20 36 2
B 20 43 1
B 20 44 3
B 20 45 1
B 20 53 1
B 20 60 1
B 20 69 1
P 21 0.010
B 21 16 2
B 21 17 1
B 21 20 1
B 21 26 1
B 21 42 1
B 21 43 1
B 21 44 1
B 21 47 1
P 22 0.010
B 22 16 1
B 22 17 1
B 22 20 1
B 22 32 1
B 22 34 1
B 22 42 4
P 23 0.010
B 23 2 2
B 23 13 1
B 23 15 2
B 23 24 2
B 23 44 3
B 23 53 1
B 23 57 1
P 24 0.010
B 24 2 1
B 24 6 1
B 24 16 1
B 24 21 2
B 24 25 1
B 24 27 1
B 24 29 1
B 24 31 1
B 24 42 1
B 24 59 2
P 25 0.010
B 25 26 1
B 25 27 2
B 25 29 2
B 25 31 2
B 25 34 1
B 25 41 1
B 25 71 1
P 26 0.010
B 26 3 1
B 26 13 1
B 26 25 1
B 26 27 1
B 26 36 1
B 26 40 1
B 26 44 1
B 26 55 1
B 26 56 1
B 26 69 1
P 27 0.010
B 27 3 1
B 27 15 3
B 27 26 1
B 27 30 1
B 27 33 1
B 27 34 1
B 27 42 2
B 27 45 2
B 27 52 1
P 28 0.010
B 28 6 1
B 28 15 1
B 28 18 1
B 28 26 2
B 28 32 2
B 28 33 1
B 28 36 1
B 28 37 1
B 28 42 1
B 28 44 1
B 28 45 2
B 28 59 1
B 28 72 1
P 29 0.010
B 29 3 1
B 29 14 1
B 29 17 1
B 29 18 2
B 29 26 1
B 29 40 1
B 29 42 1
B 29 68 1
B 29 70 1
B 29 72 1
P 30 0.010
B 30 8 1
B 30 14 1
B 30 21 1
B 30 28 1
B 30 31 2
B 30 44 1
B 30 45 2
B 30 57 1
P 31 0.010
B 31 8 1
B 31 9 1
B 31 27 1
B 31 33 1
B 31 44 1
B 31 59 1
B 31 66 1
P 32 0.010
B 32 2 1
B 32 3 1
B 32 9 1
B 32 18 2
B 32 22 1
B 32 23 1
B 32 29 1
B 32 31 1
B 32 33 1
B 32 34 1
B 32 36 1
B 32 44 1
B 32 45 1
B 32 64 1
B 32 70 1
P 33 0.010
B 33 14 1
B 33 16 2
B 33 17 1
B 33 21 1
B 33 23 1
B 33 25 1
B 33 27 1
B 33 32 1
B 33 36 2
B 33 44 1
B 33 45 1
B 33 57 1
B 33 72 1
P 34 0.010
B 34 3 1
B 34 16 1
B 34 18 1
B 34 23 2
B 34 27 1
B 34 33 1
B 34 34 1
B 34 36 1
B 34 44 1
B 34 68 1
P 35 0.010
B 35 1 1
B 35 3 1
B 35 13 1
B 35 15 2
B 35 20 1
B 35 26 1
B 35 44 1
B 35 45 3
B 35 49 1
B 35 59 1
P 36 0.010
B 36 0 1
B 36 3 1
B 36 4 1
B 36 21 1
B 36 23 1
B 36 28 1
B 36 30 3
B 36 31 1
B 36 42 2
B 36 44 3
B 36 54 1
B 36 56 1
