100
P 0 0.010
B 0 2 5
B 0 3 5
B 0 6 1
B 0 8 3
B 0 11 3
B 0 13 2
B 0 14 4
B 0 16 2
B 0 17 1
B 0 18 1
B 0 19 9
B 0 21 7
B 0 23 2
B 0 24 7
B 0 25 1
B 0 26 4
B 0 28 1
B 0 29 5
B 0 30 4
B 0 31 6
B 0 33 2
B 0 34 5
B 0 35 4
B 0 36 1
B 0 37 3
B 0 38 4
B 0 39 5
B 0 41 4
B 0 44 6
B 0 46 1
B 0 47 2
B 0 54 5
B 0 55 1
B 0 56 6
B 0 57 1
B 0 59 4
B 0 60 7
B 0 63 1
B 0 66 1
B 0 69 1
B 0 71 1
B 0 74 1
B 0 75 1
B 0 76 1
B 0 77 2
B 0 78 5
B 0 79 1
B 0 80 2
B 0 81 2
B 0 82 1
B 0 84 2
B 0 85 1
B 0 87 1
B 0 91 1
B 0 93 3
B 0 95 3
B 0 97 1
B 0 99 3
B 0 100 3
P 1 0.010
B 1 2 1
B 1 3 1
B 1 6 2
B 1 12 1
B 1 13 1
B 1 14 3
B 1 19 2
B 1 21 1
B 1 22 1
B 1 23 1
B 1 25 2
B 1 29 1
B 1 30 2
B 1 31 2
B 1 33 1
B 1 34 1
B 1 35 1
B 1 36 1
B 1 37 1
B 1 39 1
B 1 43 1
B 1 46 1
B 1 47 1
B 1 54 2
B 1 60 1
B 1 68 1
B 1 70 1
B 1 73 1
B 1 81 1
B 1 89 1
B 1 94 1
B 1 95 1
B 1 96 1
B 1 97 1
B 1 100 1
P 2 0.010
B 2 1 1
B 2 3 2
B 2 6 1
B 2 8 1
B 2 12 2
B 2 14 3
B 2 18 1
B 2 21 2
B 2 25 2
B 2 26 1
B 2 28 1
B 2 31 2
B 2 33 1
B 2 34 1
B 2 35 1
B 2 36 1
B 2 37 1
B 2 38 2
B 2 40 1
B 2 41 1
B 2 42 1
B 2 47 1
B 2 54 1
B 2 56 2
B 2 58 1
B 2 59 1
B 2 60 2
B 2 67 1
B 2 69 2
B 2 76 1
B 2 77 1
B 2 82 1
B 2 99 1
P 3 0.010
B 3 1 1
B 3 2 2
B 3 3 2
B 3 6 1
B 3 9 1
B 3 11 2
B 3 12 1
B 3 14 3
B 3 19 2
B 3 21 1
B 3 23 2
B 3 24 1
B 3 26 2
B 3 28 1
B 3 30 1
B 3 32 1
B 3 34 1
B 3 35 1
B 3 40 2
B 3 42 2
B 3 47 1
B 3 54 1
B 3 58 1
B 3 60 3
B 3 68 1
B 3 69 1
B 3 73 1
B 3 76 1
B 3 78 2
B 3 79 2
B 3 80 2
B 3 81 1
B 3 82 1
B 3 93 1
B 3 94 1
B 3 97 2
B 3 99 4
B 3 100 5
P 4 0.010
B 4 1 1
B 4 2 2
B 4 3 3
B 4 5 1
B 4 6 2
B 4 11 1
B 4 12 2
B 4 14 2
B 4 19 4
B 4 21 1
B 4 24 1
B 4 26 1
B 4 29 2
B 4 31 3
B 4 32 1
B 4 33 1
B 4 34 2
B 4 36 1
B 4 38 1
B 4 39 4
B 4 40 2
B 4 41 1
B 4 46 1
B 4 49 1
B 4 53 1
B 4 54 1
B 4 56 1
B 4 57 1
B 4 59 2
B 4 64 1
B 4 69 2
B 4 78 1
B 4 79 1
B 4 81 1
B 4 87 1
B 4 89 2
B 4 91 1
B 4 94 1
B 4 97 2
B 4 98 1
P 5 0.010
B 5 0 1
B 5 2 2
B 5 6 2
B 5 14 2
B 5 19 2
B 5 22 1
B 5 23 2
B 5 28 1
B 5 29 2
B 5 31 2
B 5 32 1
B 5 34 1
B 5 35 1
B 5 37 1
B 5 38 1
B 5 39 3
B 5 40 1
B 5 41 2
B 5 47 1
B 5 50 1
B 5 54 1
B 5 56 2
B 5 57 1
B 5 59 2
B 5 60 2
B 5 67 1
B 5 68 1
B 5 80 1
B 5 81 2
B 5 97 1
B 5 100 2
P 6 0.010
B 6 1 1
B 6 2 1
B 6 4 1
B 6 6 2
B 6 8 1
B 6 11 1
B 6 12 1
B 6 15 1
B 6 19 2
B 6 23 1
B 6 24 1
B 6 32 1
B 6 34 2
B 6 37 1
B 6 38 1
B 6 39 1
B 6 41 1
B 6 54 2
B 6 55 1
B 6 56 1
B 6 59 1
B 6 60 1
B 6 76 1
B 6 80 1
B 6 87 1
B 6 91 1
B 6 100 1
P 7 0.010
B 7 0 1
B 7 1 1
B 7 2 1
B 7 3 2
B 7 11 2
B 7 12 2
B 7 13 1
B 7 14 1
B 7 21 1
B 7 22 1
B 7 24 1
B 7 29 3
B 7 30 1
B 7 31 2
B 7 32 1
B 7 33 1
B 7 35 1
B 7 37 1
B 7 46 1
B 7 47 1
B 7 50 1
B 7 54 1
B 7 56 1
B 7 59 1
B 7 70 1
B 7 77 1
B 7 78 1
B 7 80 1
B 7 82 1
B 7 88 2
B 7 89 1
P 8 0.010
B 8 0 1
B 8 2 1
B 8 3 2
B 8 6 1
B 8 12 1
B 8 14 3
B 8 21 2
B 8 24 2
B 8 25 2
B 8 26 1
B 8 29 1
B 8 30 1
B 8 34 1
B 8 35 1
B 8 36 2
B 8 40 1
B 8 41 1
B 8 47 2
B 8 54 1
B 8 59 1
B 8 60 1
B 8 70 1
B 8 75 1
B 8 76 1
B 8 77 2
B 8 79 1
B 8 95 1
P 9 0.010
B 9 2 1
B 9 8 1
B 9 11 1
B 9 12 1
B 9 14 1
B 9 19 1
B 9 21 1
B 9 22 1
B 9 23 1
B 9 24 2
B 9 28 1
B 9 29 2
B 9 31 2
B 9 32 1
B 9 35 1
B 9 37 1
B 9 41 1
B 9 42 1
B 9 45 1
B 9 53 1
