100
P 0 0.010
B 0 0 2
B 0 2 4
B 0 3 4
B 0 4 1
B 0 5 1
B 0 6 10
B 0 8 1
B 0 9 1
B 0 11 2
B 0 12 4
B 0 14 2
B 0 16 1
B 0 19 6
B 0 21 7
B 0 22 4
B 0 23 4
B 0 24 4
B 0 25 4
B 0 26 6
B 0 28 1
B 0 29 3
B 0 30 2
B 0 31 2
B 0 32 2
B 0 33 2
B 0 34 4
B 0 35 1
B 0 36 3
B 0 37 3
B 0 38 4
B 0 39 7
B 0 40 7
B 0 41 7
B 0 42 2
B 0 43 2
B 0 44 1
B 0 46 3
B 0 47 3
B 0 48 2
B 0 49 2
B 0 53 1
B 0 54 10
B 0 58 2
B 0 59 3
B 0 60 6
B 0 64 3
B 0 65 1
B 0 66 1
B 0 67 2
B 0 68 2
B 0 69 1
B 0 70 3
B 0 73 1
B 0 74 3
B 0 78 2
B 0 80 3
B 0 81 2
B 0 82 1
B 0 85 2
B 0 87 2
B 0 91 2
B 0 94 1
B 0 95 2
B 0 96 1
B 0 97 2
B 0 98 1
B 0 99 1
B 0 100 3
P 1 0.010
B 1 2 1
B 1 6 2
B 1 12 1
B 1 14 2
B 1 17 2
B 1 18 1
B 1 19 2
B 1 21 1
B 1 22 1
B 1 23 4
B 1 25 1
B 1 26 1
B 1 31 2
B 1 33 1
B 1 34 2
B 1 35 2
B 1 36 1
B 1 39 2
B 1 40 4
B 1 41 1
B 1 44 1
B 1 49 1
B 1 54 1
B 1 60 1
B 1 68 1
B 1 69 1
B 1 71 1
B 1 73 2
B 1 78 1
B 1 91 1
B 1 93 1
B 1 95 1
B 1 100 1
P 2 0.010
B 2 2 1
B 2 3 1
B 2 11 2
B 2 19 3
B 2 21 3
B 2 22 1
B 2 23 1
B 2 24 3
B 2 25 1
B 2 26 1
B 2 29 1
B 2 30 1
B 2 34 2
B 2 35 2
B 2 36 1
B 2 38 1
B 2 39 1
B 2 40 2
B 2 41 2
B 2 46 1
B 2 52 1
B 2 54 3
B 2 56 1
B 2 60 1
B 2 64 4
B 2 69 3
B 2 78 1
B 2 80 1
B 2 86 2
B 2 91 1
B 2 97 1
B 2 100 1
P 3 0.010
B 3 0 1
B 3 3 2
B 3 6 1
B 3 12 1
B 3 14 1
B 3 15 1
B 3 19 2
B 3 21 2
B 3 22 1
B 3 23 1
B 3 24 1
B 3 26 1
