100
P 0 0.010
B 0 0 1
B 0 1 2
B 0 2 7
B 0 3 5
B 0 5 1
B 0 6 1
B 0 8 5
B 0 13 8
B 0 14 5
B 0 15 13
B 0 16 4
B 0 17 5
B 0 18 4
B 0 20 3
B 0 21 4
B 0 22 5
B 0 23 4
B 0 24 1
B 0 26 5
B 0 27 3
B 0 28 6
B 0 29 3
B 0 30 1
B 0 31 9
B 0 32 6
B 0 33 5
B 0 34 1
B 0 36 3
B 0 37 1
B 0 42 4
B 0 43 3
B 0 44 6
B 0 45 6
B 0 49 1
B 0 50 2
B 0 51 2
B 0 53 1
B 0 54 3
B 0 55 1
B 0 56 1
B 0 57 3
B 0 58 1
B 0 59 2
B 0 60 2
B 0 62 2
B 0 63 1
B 0 64 1
B 0 65 2
B 0 68 6
B 0 69 1
B 0 70 4
B 0 72 2
B 0 73 1
P 1 0.010
B 1 2 2
B 1 21 1
B 1 23 1
B 1 27 1
B 1 28 1
B 1 31 1
B 1 32 1
B 1 37 1
B 1 38 1
B 1 42 1
B 1 59 1
B 1 60 3
B 1 65 1
B 1 68 1
B 1 72 1
P 2 0.010
B 2 9 1
B 2 13 1
B 2 14 3
B 2 15 1
B 2 16 1
B 2 17 2
B 2 18 1
B 2 21 1
B 2 22 1
B 2 29 1
B 2 32 1
B 2 33 3
B 2 36 1
B 2 41 1
B 2 44 1
B 2 49 1
B 2 54 1
B 2 56 1
B 2 59 2
B 2 68 1
P 3 0.010
B 3 2 1
B 3 13 1
B 3 14 1
B 3 15 1
B 3 16 1
B 3 18 1
B 3 24 1
B 3 26 1
B 3 29 1
B 3 31 1
B 3 34 1
B 3 37 1
B 3 38 1
B 3 44 2
B 3 45 1
B 3 49 1
B 3 51 1
B 3 52 1
B 3 70 1
P 4 0.010
B 4 8 1
B 4 13 1
B 4 15 1
B 4 16 1
B 4 18 1
B 4 21 1
B 4 22 1
B 4 28 2
B 4 29 2
B 4 34 1
B 4 59 1
P 5 0.010
B 5 8 1
B 5 12 1
B 5 13 1
B 5 14 1
B 5 16 2
B 5 17 1
B 5 21 1
B 5 23 1
B 5 27 1
B 5 30 1
B 5 31 2
B 5 45 1
B 5 72 1
P 6 0.010
B 6 2 1
B 6 3 2
B 6 5 1
B 6 16 1
B 6 17 1
B 6 22 1
B 6 28 1
B 6 29 1
B 6 42 1
B 6 44 1
B 6 56 1
B 6 68 1
B 6 70 1
B 6 72 1
P 7 0.010
B 7 2 1
B 7 14 1
B 7 15 1
B 7 17 1
B 7 18 1
B 7 23 2
B 7 25 2
B 7 28 1
B 7 44 1
B 7 45 2
B 7 49 1
B 7 60 2
B 7 65 1
B 7 72 1
P 8 0.010
B 8 5 1
B 8 8 1
B 8 14 1
B 8 15 1
B 8 17 1
B 8 20 1
B 8 22 1
B 8 23 1
B 8 31 1
B 8 32 2
B 8 36 1
B 8 45 1
B 8 57 1
B 8 59 1
B 8 72 1
P 9 0.010
B 9 5 1
B 9 16 1
B 9 23 2
B 9 26 1
B 9 28 1
B 9 30 1
B 9 31 3
B 9 33 1
B 9 42 2
B 9 57 1
B 9 61 1
P 10 0.010
B 10 3 1
B 10 14 1
B 10 15 1
B 10 16 1
B 10 17 1
B 10 18 1
B 10 21 1
B 10 22 1
B 10 23 2
B 10 27 1
B 10 29 1
B 10 30 1
B 10 42 1
B 10 58 1
P 11 0.010
B 11 0 1
B 11 15 2
B 11 21 1
B 11 27 1
B 11 29 2
B 11 42 2
B 11 57 1
B 11 68 1
B 11 72 1
P 12 0.010
B 12 0 1
B 12 2 1
B 12 3 2
B 12 8 1
B 12 18 2
B 12 22 1
B 12 26 1
B 12 29 1
B 12 30 1
B 12 44 3
B 12 45 1
P 13 0.010
B 13 3 1
B 13 15 1
B 13 21 1
B 13 22 1
B 13 24 1
B 13 26 1
B 13 27 3
B 13 33 1
B 13 34 1
B 13 42 2
B 13 44 1
B 13 45 1
B 13 68 1
B 13 72 1
P 14 0.010
B 14 0 1
B 14 14 1
B 14 16 1
B 14 17 1
B 14 26 1
B 14 31 1
B 14 43 1
B 14 44 1
B 14 45 1
B 14 57 1
B 14 70 1
P 15 0.010
B 15 6 1
B 15 15 1
B 15 17 1
B 15 28 1
B 15 31 1
B 15 42 2
B 15 45 1
B 15 49 1
B 15 57 1
B 15 59 1
B 15 60 1
B 15 70 1
B 15 72 1
P 16 0.010
B 16 0 1
B 16 2 1
B 16 13 2
B 16 14 1
B 16 15 1
B 16 21 1
B 16 26 1
B 16 28 1
B 16 29 1
B 16 33 1
B 16 42 1
B 16 44 1
B 16 45 1
B 16 57 1
B 16 60 1
B 16 66 1
P 17 0.010
B 17 0 1
B 17 7 1
B 17 8 1
B 17 14 1
B 17 15 1
B 17 28 1
B 17 47 1
B 17 66 1
P 18 0.010
B 18 5 1
B 18 8 1
B 18 13 1
B 18 15 1
B 18 26 1
B 18 27 1
B 18 30 1
B 18 32 1
B 18 33 2
B 18 45 3
B 18 59 1
B 18 72 1
P 19 0.010
B 19 2 1
B 19 3 1
B 19 8 1
B 19 11 1
B 19 13 1
B 19 14 1
B 19 15 1
B 19 24 1
B 19 28 1
B 19 29 1
B 19 33 1
B 19 36 1
B 19 37 1
B 19 44 1
B 19 49 3
B 19 57 1
B 19 63 1
B 19 68 1
B 19 70 1
P 20 0.010
B 20 2 1
B 20 3 1
B 20 8 1
B 20 14 1
B 20 15 1
B 20 16 2
B 20 17 3
B 20 18 1
B 20 26 1
B 20 29 1
B 20 31 1
B 20 38 1
B 20 42 1
B 20 44 1
B 20 45 1
B 20 53 1
P 21 0.010
B 21 3 2
B 21 14 2
B 21 21 1
B 21 23 2
B 21 24 1
B 21 26 1
B 21 30 1
B 21 31 1
B 21 33 1
B 21 59 1
B 21 60 1
P 22 0.010
B 22 11 1
B 22 13 1
B 22 28 2
B 22 30 1
B 22 57 1
P 23 0.010
B 23 5 1
B 23 13 2
B 23 15 1
B 23 25 1
B 23 27 2
B 23 30 1
B 23 32 1
B 23 37 1
B 23 39 1
B 23 40 1
B 23 55 1
B 23 63 1
B 23 66 1
B 23 73 1
P 24 0.010
B 24 0 1
B 24 3 1
B 24 8 1
B 24 13 1
B 24 14 1
B 24 15 3
B 24 17 1
B 24 18 1
B 24 22 1
B 24 30 1
B 24 43 1
