100
P 0 0.010
B 0 1 1
B 0 5 1
B 0 6 1
B 0 19 1
B 0 26 1
B 0 27 3
B 0 29 1
B 0 33 2
B 0 34 3
B 0 36 1
B 0 39 1
B 0 41 3
B 0 44 3
B 0 45 3
B 0 46 1
B 0 47 1
B 0 49 1
B 0 50 1
B 0 56 1
B 0 57 3
B 0 59 2
B 0 61 1
B 0 62 1
B 0 67 1
B 0 69 1
B 0 73 1
B 0 77 1
B 0 81 1
B 0 84 2
B 0 86 1
B 0 87 1
B 0 89 2
B 0 91 1
B 0 107 1
B 0 109 2
B 0 112 1
B 0 115 1
B 0 116 3
B 0 118 4
B 0 119 1
B 0 120 2
B 0 121 2
B 0 123 1
B 0 127 1
B 0 130 1
B 0 131 1
B 0 132 1
B 0 134 1
B 0 135 1
B 0 137 1
B 0 146 1
B 0 149 1
B 0 156 1
B 0 167 1
B 0 169 1
B 0 171 1
B 0 174 2
B 0 175 1
B 0 180 2
B 0 181 1
B 0 198 1
B 0 201 1
B 0 202 1
B 0 206 1
B 0 210 3
B 0 217 1
B 0 226 2
P 1 0.010
B 1 36 1
B 1 37 1
B 1 49 1
B 1 53 1
B 1 57 1
B 1 70 1
B 1 81 1
B 1 89 1
B 1 123 1
B 1 177 1
P 2 0.010
B 2 2 1
B 2 32 1
B 2 36 1
B 2 55 1
B 2 59 1
B 2 69 1
B 2 74 1
B 2 90 1
B 2 119 2
B 2 136 1
B 2 147 2
B 2 186 1
B 2 206 1
B 2 219 1
P 3 0.010
B 3 24 1
B 3 25 1
B 3 34 1
B 3 64 1
B 3 65 1
B 3 70 1
B 3 77 1
B 3 88 1
B 3 121 1
B 3 155 1
B 3 169 1
B 3 219 1
P 4 0.010
B 4 23 1
B 4 24 1
B 4 45 2
B 4 85 2
B 4 107 1
B 4 113 1
B 4 144 1
B 4 157 1
B 4 192 1
P 5 0.010
B 5 27 1
B 5 60 1
B 5 106 1
B 5 112 1
B 5 118 1
B 5 121 1
B 5 157 1
B 5 168 1
P 6 0.010
B 6 15 1
B 6 18 1
B 6 19 1
B 6 41 1
B 6 54 1
