100
P 0 0.010
B 0 9 1
B 0 11 1
B 0 12 1
B 0 13 1
B 0 16 1
B 0 18 1
B 0 19 1
B 0 21 2
B 0 26 1
B 0 29 1
B 0 31 1
B 0 32 2
B 0 39 1
B 0 40 2
B 0 46 2
B 0 54 1
B 0 56 1
B 0 58 1
B 0 60 2
B 0 64 1
B 0 65 3
B 0 74 1
B 0 82 3
B 0 85 1
B 0 96 1
B 0 104 1
B 0 109 1
B 0 110 1
B 0 113 2
B 0 114 1
B 0 119 1
B 0 120 2
B 0 121 1
B 0 122 1
B 0 130 1
B 0 132 1
B 0 149 1
B 0 150 1
B 0 157 1
B 0 170 1
B 0 171 2
B 0 178 1
B 0 188 1
B 0 193 2
B 0 203 1
B 0 204 1
B 0 212 1
B 0 213 1
B 0 214 1
B 0 215 1
P 1 0.010
B 1 12 1
B 1 15 3
B 1 18 1
B 1 61 1
B 1 65 1
B 1 88 1
B 1 112 1
B 1 113 1
B 1 149 1
B 1 152 1
P 2 0.010
B 2 16 1
B 2 87 1
B 2 115 2
B 2 119 1
B 2 172 1
B 2 174 1
B 2 207 1
P 3 0.010
B 3 34 2
B 3 36 1
B 3 46 1
B 3 62 1
B 3 67 1
B 3 109 1
B 3 134 1
B 3 136 1
B 3 146 1
P 4 0.010
B 4 2 1
B 4 15 1
B 4 25 1
B 4 26 1
B 4 55 1
B 4 61 1
B 4 65 1
B 4 87 1
B 4 117 1
B 4 136 1
B 4 137 1
B 4 138 1
B 4 148 1
B 4 177 1
B 4 192 1
B 4 219 1
P 5 0.010
B 5 21 1
B 5 23 1
B 5 43 1
B 5 45 1
B 5 58 1
B 5 59 2
B 5 61 1
B 5 89 1
B 5 144 1
B 5 174 1
B 5 187 1
B 5 206 3
B 5 215 1
B 5 229 1
P 6 0.010
B 6 21 1
B 6 24 1
B 6 54 1
B 6 55 1
B 6 57 1
B 6 60 1
B 6 88 1
B 6 118 1
B 6 121 1
B 6 146 1
B 6 154 1
B 6 204 1
P 7 0.010
B 7 18 1
B 7 24 1
B 7 32 1
B 7 57 1
B 7 66 1
B 7 77 1
B 7 84 1
B 7 87 1
B 7 113 1
B 7 122 1
B 7 140 1
B 7 141 1
B 7 170 1
B 7 192 1
B 7 195 1
B 7 206 1
B 7 219 1
P 8 0.010
B 8 15 1
B 8 34 1
B 8 36 1
B 8 107 1
B 8 113 1
B 8 114 1
B 8 115 1
B 8 122 1
B 8 144 1
B 8 147 1
B 8 186 1
B 8 200 1
P 9 0.010
B 9 18 1
B 9 32 1
B 9 58 1
B 9 65 1
B 9 73 1
B 9 92 2
B 9 104 1
B 9 109 1
B 9 115 1
B 9 147 1
B 9 186 1
B 9 207 1
B 9 223 1
P 10 0.010
B 10 34 1
B 10 54 1
B 10 67 1
B 10 88 1
B 10 108 1
B 10 114 1
B 10 119 1
B 10 123 1
B 10 129 1
B 10 136 1
B 10 172 1
B 10 173 1
B 10 184 1
B 10 186 1
B 10 189 1
B 10 198 1
P 11 0.010
B 11 12 1
B 11 20 1
B 11 29 1
B 11 45 1
B 11 54 1
B 11 58 1
B 11 77 1
B 11 89 1
B 11 96 1
B 11 113 1
B 11 123 1
B 11 135 1
B 11 146 1
B 11 183 1
B 11 190 1
B 11 202 1
P 12 0.010
B 12 9 1
B 12 33 1
B 12 55 1
B 12 60 1
B 12 71 1
B 12 83 1
B 12 88 1
B 12 108 1
B 12 117 1
B 12 119 1
B 12 120 1
B 12 121 1
B 12 167 1
P 13 0.010
B 13 17 1
B 13 54 1
B 13 62 1
B 13 70 1
B 13 77 1
B 13 84 1
B 13 103 1
B 13 118 1
B 13 122 1
B 13 130 1
B 13 168 1
P 14 0.010
B 14 25 1
B 14 36 1
B 14 62 1
B 14 69 1
B 14 114 1
B 14 116 1
B 14 120 1
B 14 160 1
B 14 187 1
B 14 221 1
P 15 0.010
B 15 12 1
B 15 27 1
B 15 61 2
B 15 68 1
B 15 76 1
B 15 77 1
B 15 79 1
B 15 103 1
B 15 119 2
B 15 127 1
B 15 144 1
B 15 175 1
P 16 0.010
B 16 33 1
B 16 34 1
B 16 56 1
B 16 61 1
B 16 67 1
B 16 77 1
B 16 122 1
B 16 149 2
B 16 162 1
P 17 0.010
B 17 25 1
B 17 66 1
B 17 73 1
B 17 80 1
B 17 88 1
B 17 119 1
B 17 184 1
B 17 204 1
B 17 208 1
P 18 0.010
B 18 18 1
B 18 20 1
B 18 22 1
B 18 32 1
B 18 55 1
B 18 57 1
B 18 62 1
B 18 84 1
B 18 87 1
B 18 113 1
B 18 116 1
B 18 131 1
B 18 143 1
B 18 149 1
B 18 155 1
B 18 211 1
P 19 0.010
B 19 40 1
B 19 55 1
B 19 56 1
B 19 58 1
B 19 82 1
B 19 88 1
B 19 107 1
B 19 109 1
B 19 113 1
B 19 155 1
B 19 158 1
B 19 159 1
B 19 198 1
P 20 0.010
B 20 36 1
B 20 52 1
B 20 60 1
B 20 65 1
B 20 68 1
B 20 71 1
