100
P 0 0.010
B 0 0 1
B 0 1 1
B 0 2 2
B 0 5 5
B 0 6 3
B 0 8 3
B 0 15 1
B 0 16 1
B 0 17 2
B 0 18 1
B 0 21 1
B 0 22 3
B 0 24 3
B 0 25 1
B 0 26 1
B 0 27 1
B 0 29 1
B 0 31 1
B 0 36 1
B 0 38 3
B 0 41 3
B 0 42 3
B 0 43 1
B 0 49 3
B 0 50 2
B 0 51 1
B 0 52 1
B 0 53 2
B 0 54 1
B 0 55 1
B 0 56 2
B 0 57 1
B 0 60 3
B 0 61 2
B 0 62 3
B 0 64 2
B 0 65 1
B 0 66 1
B 0 67 1
B 0 68 1
B 0 69 1
B 0 70 2
B 0 71 1
B 0 72 3
B 0 74 2
B 0 75 1
B 0 76 4
B 0 77 2
B 0 78 2
B 0 80 1
B 0 81 3
B 0 82 1
B 0 83 3
B 0 84 1
B 0 85 1
B 0 87 2
B 0 88 1
B 0 90 2
B 0 91 3
B 0 92 1
B 0 97 1
B 0 99 1
B 0 100 1
B 0 102 1
B 0 103 1
B 0 104 2
B 0 105 4
B 0 106 1
B 0 107 1
B 0 110 1
B 0 114 1
B 0 115 1
B 0 119 1
B 0 120 1
B 0 121 4
B 0 122 3
B 0 123 2
B 0 127 3
B 0 128 4
B 0 129 2
B 0 130 2
B 0 132 2
B 0 133 1
B 0 134 1
B 0 135 3
B 0 136 1
B 0 138 1
B 0 142 2
B 0 150 1
B 0 151 1
B 0 152 3
B 0 153 3
B 0 154 3
B 0 158 3
B 0 159 3
B 0 160 3
B 0 162 1
B 0 163 3
B 0 164 1
B 0 168 1
B 0 174 2
B 0 175 1
B 0 178 1
B 0 179 1
B 0 180 1
B 0 181 4
B 0 183 1
B 0 185 1
B 0 186 3
B 0 187 1
B 0 188 1
B 0 190 1
B 0 191 4
B 0 192 4
B 0 193 2
B 0 194 1
B 0 196 1
B 0 197 8
B 0 198 1
B 0 200 1
B 0 202 3
B 0 203 4
B 0 204 2
B 0 205 2
B 0 206 1
B 0 207 1
B 0 208 3
B 0 210 2
B 0 211 2
B 0 212 4
B 0 213 2
B 0 215 4
B 0 216 2
B 0 222 2
B 0 223 1
B 0 225 3
B 0 226 2
B 0 227 2
B 0 229 1
B 0 234 3
B 0 235 1
B 0 239 1
B 0 240 2
B 0 241 1
B 0 242 1
B 0 244 2
B 0 246 1
B 0 247 2
B 0 248 1
B 0 250 2
B 0 251 3
B 0 252 1
B 0 253 2
B 0 254 1
B 0 256 2
B 0 257 1
B 0 258 2
B 0 259 1
B 0 261 1
B 0 263 1
B 0 264 1
B 0 267 2
B 0 272 4
B 0 276 1
B 0 277 4
B 0 278 1
B 0 279 1
B 0 280 2
B 0 283 2
B 0 284 3
B 0 288 1
B 0 289 1
B 0 290 1
B 0 293 2
B 0 294 2
B 0 297 3
B 0 298 1
B 0 299 2
B 0 301 1
B 0 302 2
B 0 303 1
B 0 304 1
B 0 309 1
B 0 310 1
B 0 311 1
B 0 312 2
B 0 313 1
B 0 314 4
B 0 316 2
B 0 318 3
B 0 322 1
B 0 325 2
B 0 327 2
B 0 328 2
B 0 329 1
B 0 331 2
B 0 332 1
B 0 333 1
B 0 334 1
B 0 339 1
B 0 341 1
B 0 344 1
B 0 346 1
B 0 347 2
B 0 348 1
B 0 353 1
B 0 355 1
B 0 356 1
B 0 358 1
B 0 359 3
B 0 360 1
B 0 361 2
B 0 363 1
B 0 364 1
B 0 370 2
B 0 371 1
B 0 372 1
B 0 373 2
B 0 374 1
B 0 377 1
B 0 378 2
B 0 379 1
B 0 382 1
B 0 383 2
B 0 384 1
B 0 385 3
B 0 387 1
B 0 388 2
B 0 389 1
B 0 393 1
B 0 394 1
B 0 400 2
B 0 403 1
B 0 404 1
B 0 405 2
B 0 409 1
B 0 410 2
B 0 414 1
B 0 416 2
B 0 419 1
B 0 420 1
B 0 423 1
B 0 424 2
B 0 426 1
B 0 428 1
B 0 429 3
B 0 430 1
B 0 433 1
B 0 434 2
B 0 437 1
B 0 438 4
B 0 440 2
B 0 442 2
B 0 445 1
B 0 448 1
B 0 449 1
B 0 450 2
B 0 453 1
B 0 454 1
B 0 455 2
B 0 457 2
B 0 458 1
B 0 460 1
B 0 461 1
B 0 464 1
B 0 473 1
B 0 474 2
B 0 477 3
B 0 482 1
B 0 483 4
B 0 484 3
B 0 487 2
B 0 493 2
B 0 495 3
B 0 497 1
B 0 500 3
B 0 502 1
B 0 503 1
B 0 504 2
B 0 508 1
B 0 512 2
B 0 515 1
B 0 516 1
B 0 519 1
B 0 520 1
B 0 526 1
B 0 528 1
B 0 529 1
B 0 530 1
B 0 532 1
B 0 538 1
B 0 539 1
B 0 540 1
B 0 541 2
B 0 545 1
P 1 0.010
B 1 10 1
B 1 21 2
B 1 24 1
B 1 26 1
B 1 27 1
B 1 42 2
B 1 43 1
B 1 44 1
B 1 55 1
B 1 57 1
B 1 60 1
B 1 67 1
B 1 71 1
B 1 72 2
B 1 74 1
B 1 79 1
B 1 85 3
B 1 103 1
B 1 104 1
B 1 105 1
B 1 128 1
B 1 132 1
B 1 133 2
B 1 137 1
B 1 139 1
B 1 152 1
B 1 153 1
B 1 179 1
B 1 181 2
B 1 185 1
B 1 186 2
B 1 192 1
B 1 195 1
B 1 197 1
B 1 198 1
B 1 214 1
B 1 216 1
B 1 219 2
B 1 223 1
B 1 224 1
B 1 230 1
B 1 234 1
B 1 235 1
B 1 241 2
B 1 250 1
B 1 255 1
B 1 256 1
B 1 278 1
B 1 287 1
B 1 303 2
B 1 304 2
B 1 306 2
B 1 311 1
B 1 317 1
B 1 318 1
B 1 327 1
B 1 332 1
B 1 333 1
B 1 337 1
B 1 341 1
B 1 353 1
B 1 354 2
B 1 356 1
B 1 378 1
B 1 380 1
B 1 383 1
B 1 416 1
B 1 434 1
B 1 440 1
B 1 450 1
B 1 451 2
B 1 454 1
B 1 470 1
B 1 472 1
B 1 474 1
B 1 494 1
B 1 500 1
B 1 501 1
B 1 502 1
B 1 506 1
B 1 512 1
B 1 515 1
B 1 521 1
B 1 526 1
B 1 541 1
B 1 545 1
B 1 547 1
P 2 0.010
B 2 1 1
B 2 3 1
B 2 8 1
B 2 24 1
B 2 25 1
B 2 33 1
B 2 35 1
B 2 37 1
B 2 38 2
B 2 42 2
B 2 55 1
B 2 74 1
B 2 76 3
B 2 89 1
B 2 92 1
B 2 110 1
B 2 119 2
B 2 124 1
B 2 125 1
B 2 126 1
B 2 127 1
B 2 129 1
B 2 131 1
B 2 134 1
B 2 142 1
B 2 149 1
B 2 153 3
B 2 154 1
B 2 156 1
B 2 159 1
B 2 163 2
B 2 165 1
B 2 178 1
B 2 186 1
B 2 190 1
B 2 192 1
B 2 193 1
B 2 194 1
B 2 197 1
B 2 205 2
B 2 212 1
B 2 213 1
B 2 217 1
B 2 218 1
B 2 224 1
B 2 234 1
B 2 237 1
B 2 245 1
B 2 247 1
B 2 248 1
B 2 251 1
B 2 259 1
B 2 272 2
B 2 275 1
B 2 279 1
B 2 286 1
B 2 288 1
B 2 292 1
B 2 294 1
B 2 299 1
B 2 301 1
B 2 313 1
B 2 315 1
B 2 323 1
B 2 324 1
B 2 331 1
B 2 344 1
B 2 349 1
B 2 360 1
B 2 371 1
B 2 374 1
B 2 384 1
B 2 400 1
B 2 416 1
B 2 427 1
B 2 431 1
B 2 438 1
B 2 440 1
B 2 442 1
B 2 448 1
B 2 450 2
B 2 458 1
B 2 465 1
B 2 467 1
B 2 470 1
B 2 474 1
B 2 477 1
B 2 482 1
B 2 498 1
B 2 501 1
B 2 502 1
B 2 503 1
B 2 523 1
B 2 540 1
B 2 542 1
P 3 0.010
B 3 1 1
B 3 7 3
B 3 18 1
B 3 21 1
B 3 41 1
B 3 45 1
B 3 53 1
B 3 54 1
B 3 55 1
B 3 57 1
B 3 65 1
B 3 72 2
B 3 78 1
B 3 83 1
B 3 84 1
B 3 90 1
B 3 97 1
B 3 99 1
B 3 101 1
B 3 119 2
B 3 123 2
B 3 127 2
B 3 128 1
B 3 130 1
B 3 131 1
B 3 134 1
B 3 137 1
B 3 140 1
B 3 159 2
B 3 161 1
B 3 162 1
B 3 163 1
B 3 174 1
B 3 178 1
B 3 181 2
B 3 183 1
B 3 190 1
B 3 194 1
B 3 196 2
B 3 199 1
B 3 219 1
B 3 234 1
B 3 236 1
B 3 237 1
B 3 239 1
B 3 247 1
B 3 248 1
B 3 249 1
B 3 253 2
B 3 261 1
B 3 262 1
B 3 276 1
B 3 280 1
B 3 294 1
B 3 296 1
B 3 297 1
B 3 298 1
B 3 301 1
B 3 307 1
B 3 315 1
B 3 332 1
B 3 333 1
B 3 339 1
B 3 341 1
B 3 349 1
B 3 354 2
B 3 362 1
B 3 371 1
B 3 376 1
B 3 389 2
B 3 400 1
B 3 420 1
B 3 429 1
B 3 434 2
B 3 438 1
B 3 449 1
B 3 450 1
B 3 452 1
B 3 455 1
B 3 457 1
B 3 461 1
B 3 466 1
B 3 472 1
B 3 482 2
B 3 495 1
B 3 518 1
B 3 545 1
P 4 0.010
B 4 7 1
B 4 21 1
B 4 25 1
B 4 38 1
B 4 40 1
B 4 43 1
B 4 47 1
B 4 50 1
B 4 52 1
B 4 71 1
B 4 75 1
B 4 85 1
B 4 87 1
B 4 90 1
B 4 123 1
B 4 125 1
B 4 127 2
B 4 128 1
B 4 137 1
B 4 140 1
B 4 150 1
B 4 152 1
B 4 159 1
B 4 160 1
B 4 179 1
B 4 181 1
B 4 186 1
B 4 193 1
B 4 199 2
B 4 203 1
B 4 204 1
B 4 205 1
B 4 208 1
B 4 233 1
B 4 234 1
B 4 236 1
B 4 237 1
B 4 243 1
B 4 250 1
B 4 258 1
B 4 262 1
B 4 272 1
B 4 277 2
B 4 280 2
B 4 284 1
B 4 287 1
B 4 302 1
B 4 304 1
B 4 311 1
B 4 315 1
B 4 318 1
B 4 319 1
B 4 326 1
B 4 332 1
B 4 337 3
B 4 349 1
B 4 375 1
B 4 385 1
B 4 388 1
B 4 395 1
B 4 398 1
B 4 403 2
B 4 405 1
B 4 406 1
B 4 413 1
B 4 418 1
B 4 447 1
B 4 449 2
B 4 464 1
B 4 470 1
B 4 471 1
B 4 480 1
B 4 483 1
B 4 496 1
B 4 507 1
B 4 517 1
B 4 523 1
P 5 0.010
B 5 1 1
B 5 5 1
B 5 6 1
B 5 34 1
B 5 38 1
B 5 39 1
B 5 41 1
B 5 42 1
B 5 43 2
B 5 49 1
B 5 53 1
B 5 61 1
B 5 62 1
B 5 71 1
B 5 73 1
B 5 82 1
B 5 83 1
B 5 84 1
B 5 89 1
B 5 90 1
B 5 97 1
B 5 123 1
B 5 129 1
B 5 130 1
B 5 133 1
B 5 134 1
B 5 137 1
B 5 140 2
B 5 158 1
B 5 164 1
B 5 177 1
B 5 179 1
B 5 188 1
B 5 190 1
B 5 191 1
B 5 195 1
B 5 196 2
B 5 199 1
B 5 202 1
B 5 205 1
B 5 212 1
B 5 215 2
B 5 216 1
B 5 221 1
B 5 239 1
B 5 241 1
B 5 244 1
B 5 251 1
B 5 253 1
B 5 254 1
B 5 255 1
B 5 259 2
B 5 262 1
B 5 265 1
B 5 277 1
B 5 280 1
B 5 283 1
B 5 286 1
B 5 298 1
B 5 300 1
B 5 312 1
B 5 313 1
B 5 314 1
B 5 318 1
B 5 325 1
B 5 326 1
B 5 330 1
B 5 331 1
B 5 332 1
B 5 341 1
B 5 359 1
B 5 360 1
B 5 361 1
B 5 374 1
B 5 385 1
B 5 388 1
B 5 392 1
B 5 400 1
B 5 421 1
B 5 424 1
B 5 426 1
B 5 440 1
B 5 472 1
B 5 481 1
B 5 497 1
B 5 504 1
B 5 512 1
