100
P 0 0.010
B 0 5 1
B 0 8 1
B 0 15 3
B 0 16 3
B 0 17 1
B 0 18 4
B 0 20 1
B 0 21 1
B 0 26 1
B 0 29 2
B 0 33 1
B 0 35 1
B 0 36 2
B 0 39 2
B 0 40 2
B 0 54 1
B 0 55 1
B 0 56 1
B 0 57 4
B 0 58 1
B 0 59 1
B 0 60 1
B 0 62 2
B 0 64 1
B 0 66 3
B 0 69 2
B 0 73 1
B 0 81 2
B 0 85 1
B 0 89 1
B 0 93 1
B 0 102 1
B 0 104 1
B 0 109 2
B 0 113 1
B 0 114 1
B 0 115 1
B 0 116 1
B 0 120 2
B 0 122 1
B 0 126 1
B 0 134 1
B 0 135 1
B 0 136 1
B 0 137 4
B 0 152 1
B 0 153 1
B 0 154 1
B 0 155 2
B 0 160 1
B 0 169 1
B 0 174 3
B 0 177 1
B 0 183 1
B 0 187 1
B 0 202 1
B 0 205 1
B 0 221 1
P 1 0.010
B 1 29 1
B 1 45 1
B 1 60 2
B 1 61 1
B 1 86 1
B 1 112 2
B 1 113 1
B 1 119 1
B 1 127 1
B 1 140 1
B 1 229 1
P 2 0.010
B 2 66 2
B 2 109 1
B 2 190 1
B 2 192 1
P 3 0.010
B 3 15 1
B 3 20 1
B 3 27 1
B 3 55 1
B 3 62 1
B 3 71 1
B 3 82 1
B 3 84 1
B 3 99 1
B 3 127 1
B 3 148 1
B 3 151 1
P 4 0.010
B 4 7 1
B 4 29 1
B 4 36 2
B 4 39 1
B 4 59 1
B 4 66 1
B 4 68 1
B 4 107 1
B 4 120 1
B 4 165 1
B 4 174 1
B 4 190 1
P 5 0.010
B 5 15 1
B 5 24 1
B 5 88 1
B 5 116 1
B 5 121 1
B 5 144 1
B 5 164 1
B 5 209 1
B 5 220 1
P 6 0.010
B 6 29 1
B 6 30 1
B 6 52 1
B 6 56 1
B 6 57 1
B 6 60 1
B 6 83 1
B 6 110 1
B 6 115 1
B 6 118 1
B 6 130 1
B 6 147 1
B 6 166 1
B 6 182 1
B 6 188 1
P 7 0.010
B 7 46 1
B 7 82 1
B 7 85 1
B 7 115 1
B 7 117 1
B 7 147 1
B 7 183 1
B 7 227 1
P 8 0.010
B 8 13 1
B 8 34 1
B 8 47 1
B 8 57 1
B 8 89 1
B 8 122 2
B 8 147 1
B 8 169 1
P 9 0.010
B 9 17 1
B 9 28 1
B 9 32 1
B 9 57 2
B 9 89 1
B 9 90 1
B 9 103 1
B 9 113 1
B 9 192 1
P 10 0.010
B 10 26 1
B 10 27 1
B 10 41 1
B 10 57 1
B 10 79 1
B 10 148 1
B 10 175 1
B 10 187 1
P 11 0.010
B 11 29 1
B 11 57 1
B 11 58 1
B 11 117 1
B 11 147 1
B 11 191 1
P 12 0.010
B 12 54 1
B 12 62 1
B 12 66 1
B 12 76 1
B 12 90 1
B 12 109 1
B 12 115 1
B 12 118 1
B 12 123 1
B 12 164 1
B 12 183 1
B 12 193 1
B 12 206 1
B 12 216 1
P 13 0.010
B 13 16 1
B 13 27 1
B 13 56 1
B 13 82 1
B 13 94 1
B 13 121 1
B 13 133 1
B 13 140 1
B 13 144 1
P 14 0.010
B 14 19 1
B 14 32 2
B 14 36 1
B 14 37 1
B 14 45 1
B 14 56 1
B 14 58 2
B 14 76 1
B 14 87 2
B 14 100 1
B 14 146 1
B 14 176 1
B 14 209 1
P 15 0.010
B 15 16 1
B 15 28 1
B 15 33 1
B 15 40 1
B 15 57 1
B 15 84 1
B 15 88 1
B 15 109 1
B 15 112 1
B 15 114 1
B 15 116 1
B 15 130 1
B 15 151 1
P 16 0.010
B 16 25 1
B 16 27 1
B 16 41 1
B 16 48 1
B 16 54 1
B 16 73 1
B 16 84 1
B 16 120 1
B 16 130 1
B 16 145 1
B 16 198 1
P 17 0.010
B 17 19 1
B 17 20 1
B 17 33 1
B 17 52 1
B 17 56 1
B 17 58 1
B 17 59 2
B 17 72 1
B 17 82 1
B 17 106 1
B 17 107 1
B 17 127 1
B 17 148 1
B 17 173 1
B 17 181 1
B 17 183 1
P 18 0.010
B 18 16 2
B 18 19 1
B 18 37 1
B 18 40 1
B 18 45 1
B 18 81 1
B 18 93 1
B 18 112 1
B 18 148 1
B 18 225 1
P 19 0.010
B 19 25 1
B 19 28 1
B 19 32 1
B 19 84 1
B 19 224 1
P 20 0.010
B 20 17 1
B 20 27 2
B 20 41 1
B 20 55 1
B 20 109 1
B 20 110 1
B 20 114 1
B 20 155 1
B 20 181 1
P 21 0.010
B 21 8 1
B 21 40 1
B 21 55 1
B 21 58 1
B 21 62 1
B 21 105 1
B 21 110 1
B 21 113 1
B 21 122 1
B 21 132 1
B 21 155 1
B 21 168 1
B 21 170 1
B 21 177 1
P 22 0.010
B 22 32 1
B 22 56 1
B 22 57 1
B 22 64 1
B 22 89 1
B 22 164 1
B 22 176 1
B 22 190 1
B 22 192 1
B 22 201 1
B 22 229 1
P 23 0.010
B 23 19 1
B 23 20 1
B 23 41 1
B 23 45 1
B 23 55 1
B 23 61 1
B 23 66 1
B 23 83 1
B 23 90 1
B 23 109 1
B 23 133 1
B 23 154 1
B 23 156 1
B 23 181 1
B 23 225 1
P 24 0.010
B 24 25 1
B 24 32 1
B 24 54 1
B 24 59 1
B 24 82 1
B 24 89 1
B 24 147 1
B 24 171 1
B 24 197 1
B 24 213 1
P 25 0.010
B 25 32 1
B 25 42 1
B 25 47 1
B 25 62 1
B 25 132 2
P 26 0.010
B 26 10 1
B 26 40 1
B 26 57 1
B 26 83 1
B 26 88 1
B 26 130 1
B 26 133 1
B 26 137 1
B 26 146 1
B 26 157 1
B 26 172 1
B 26 184 1
B 26 193 1
B 26 196 1
P 27 0.010
B 27 40 1
B 27 55 1
B 27 101 1
B 27 112 2
B 27 186 1
B 27 187 1
B 27 208 1
B 27 221 1
P 28 0.010
B 28 59 1
B 28 69 1
B 28 71 1
B 28 113 1
B 28 118 1
B 28 132 1
B 28 135 1
B 28 136 1
B 28 179 1
B 28 184 1
B 28 192 1
P 29 0.010
B 29 6 1
B 29 24 1
B 29 29 1
B 29 32 1
B 29 72 1
B 29 192 1
P 30 0.010
B 30 44 2
B 30 61 1
B 30 65 1
B 30 69 1
B 30 87 1
B 30 95 1
B 30 109 1
B 30 221 1
P 31 0.010
B 31 29 1
B 31 39 1
B 31 60 1
B 31 78 1
B 31 81 1
B 31 110 1
B 31 112 1
B 31 115 1
B 31 122 1
B 31 147 1
B 31 156 1
B 31 195 1
P 32 0.010
B 32 19 1
B 32 20 1
B 32 24 1
B 32 29 1
B 32 41 1
B 32 57 1
B 32 66 1
B 32 73 1
B 32 172 1
B 32 190 1
P 33 0.010
B 33 9 1
B 33 24 1
B 33 38 1
B 33 56 1
B 33 137 1
B 33 167 1
P 34 0.010
B 34 16 1
B 34 19 1
B 34 21 1
B 34 24 2
B 34 26 1
B 34 54 2
B 34 58 1
B 34 61 1
B 34 92 1
B 34 114 1
B 34 121 1
B 34 148 2
B 34 169 1
B 34 230 1
P 35 0.010
B 35 21 1
B 35 32 1
B 35 62 1
B 35 63 1
B 35 82 1
B 35 101 1
B 35 105 1
B 35 109 1
B 35 117 1
B 35 134 1
B 35 153 1
B 35 186 1
P 36 0.010
B 36 43 1
B 36 48 1
B 36 68 1
B 36 74 1
B 36 85 1
B 36 92 1
B 36 109 1
B 36 116 1
B 36 120 1
B 36 136 1
B 36 151 1
B 36 179 1
B 36 186 1
B 36 190 1
B 36 208 1
B 36 217 1
P 37 0.010
B 37 29 1
B 37 40 1
B 37 44 1
B 37 59 1
B 37 118 1
B 37 119 1
B 37 120 1
B 37 121 1
B 37 126 1
B 37 171 1
B 37 184 1
B 37 203 1
B 37 213 1
P 38 0.010
B 38 25 1
B 38 55 1
B 38 82 1
B 38 92 1
B 38 121 1
B 38 174 1
P 39 0.010
B 39 16 2
B 39 34 1
B 39 50 1
B 39 52 1
B 39 57 1
B 39 62 1
B 39 85 1
B 39 105 1
B 39 109 1
B 39 112 2
B 39 123 1
B 39 173 1
B 39 217 1
B 39 222 1
P 40 0.010
B 40 18 1
B 40 29 2
B 40 34 1
B 40 56 1
B 40 58 1
B 40 91 1
B 40 116 1
B 40 123 1
B 40 183 1
B 40 186 1
B 40 190 1
B 40 204 1
P 41 0.010
B 41 65 1
B 41 82 1
B 41 117 1
B 41 119 1
B 41 159 1
B 41 172 1
B 41 197 1
B 41 221 1
P 42 0.010
B 42 20 1
B 42 42 1
B 42 130 1
B 42 140 1
B 42 223 1
P 43 0.010
B 43 19 1
B 43 50 1
B 43 59 1
B 43 62 1
B 43 64 1
B 43 87 1
B 43 88 1
B 43 89 1
B 43 114 1
B 43 118 1
P 44 0.010
B 44 28 1
B 44 32 1
B 44 34 1
B 44 55 1
B 44 69 1
B 44 164 1
P 45 0.010
B 45 40 1
B 45 71 1
B 45 88 1
B 45 122 1
B 45 136 1
P 46 0.010
B 46 19 1
B 46 22 1
B 46 43 1
B 46 77 1
B 46 118 1
B 46 120 1
B 46 167 1
B 46 183 1
B 46 186 1
B 46 205 1
P 47 0.010
B 47 18 1
B 47 36 1
B 47 39 1
B 47 45 1
B 47 48 1
B 47 52 1
B 47 59 1
B 47 82 1
B 47 92 1
B 47 98 1
B 47 112 1
B 47 171 1
P 48 0.010
B 48 57 2
B 48 193 1
P 49 0.010
B 49 20 1
B 49 24 1
B 49 29 1
B 49 32 1
B 49 36 1
B 49 57 1
B 49 58 1
B 49 62 1
B 49 76 1
B 49 114 1
B 49 123 1
B 49 181 1
P 50 0.010
B 50 7 1
B 50 23 1
B 50 32 1
B 50 52 1
B 50 61 1
B 50 82 1
B 50 83 1
B 50 88 1
B 50 114 1
B 50 117 1
B 50 123 1
B 50 186 1
P 51 0.010
B 51 15 1
B 51 82 1
B 51 84 1
B 51 155 1
B 51 172 1
B 51 174 1
B 51 203 1
P 52 0.010
B 52 18 1
B 52 24 1
B 52 34 1
B 52 58 1
B 52 60 1
B 52 82 1
B 52 97 1
B 52 115 1
B 52 122 1
B 52 140 1
B 52 143 1
B 52 149 1
P 53 0.010
B 53 18 1
B 53 39 1
B 53 62 1
B 53 68 1
B 53 84 1
B 53 113 1
B 53 117 1
B 53 151 1
B 53 157 1
B 53 168 1
P 54 0.010
B 54 18 1
B 54 20 1
B 54 114 1
B 54 183 1
B 54 194 1
P 55 0.010
B 55 11 1
B 55 19 1
B 55 60 1
B 55 104 1
B 55 105 1
B 55 144 1
B 55 152 1
B 55 170 1
P 56 0.010
B 56 16 1
B 56 41 1
B 56 60 1
B 56 62 1
B 56 73 1
B 56 75 1
B 56 104 1
B 56 121 1
B 56 187 1
P 57 0.010
B 57 15 1
B 57 18 1
B 57 19 2
B 57 55 1
B 57 71 2
B 57 108 1
B 57 120 1
B 57 123 1
B 57 220 1
P 58 0.010
B 58 36 1
B 58 164 1
B 58 192 1
B 58 206 1
B 58 229 1
P 59 0.010
B 59 33 1
B 59 56 2
B 59 58 1
B 59 59 1
B 59 66 1
B 59 88 1
B 59 116 1
B 59 119 1
P 60 0.010
B 60 57 1
B 60 116 1
B 60 132 1
B 60 199 1
B 60 213 1
P 61 0.010
B 61 9 1
B 61 26 1
B 61 33 1
B 61 54 1
B 61 57 1
B 61 61 1
B 61 77 1
B 61 83 1
B 61 119 1
B 61 123 1
B 61 167 1
B 61 170 1
B 61 186 1
P 62 0.010
B 62 25 1
B 62 40 1
B 62 57 1
B 62 58 1
B 62 72 1
B 62 87 1
B 62 114 1
B 62 137 1
B 62 164 1
B 62 190 1
P 63 0.010
B 63 19 1
B 63 25 1
B 63 33 1
B 63 87 2
B 63 169 1
B 63 174 1
B 63 176 1
B 63 178 1
P 64 0.010
B 64 8 1
B 64 33 1
B 64 36 1
B 64 84 1
B 64 121 1
B 64 130 1
B 64 149 1
B 64 208 1
P 65 0.010
B 65 20 2
B 65 52 1
B 65 93 1
B 65 148 1
P 66 0.010
B 66 59 2
B 66 91 1
B 66 107 1
B 66 127 1
B 66 130 1
B 66 165 1
B 66 183 1
P 67 0.010
B 67 1 1
B 67 17 1
B 67 34 2
B 67 37 1
B 67 82 1
B 67 84 1
B 67 116 1
B 67 121 1
B 67 133 1
B 67 193 1
B 67 215 1
B 67 219 1
P 68 0.010
B 68 15 1
B 68 26 1
B 68 27 1
B 68 32 1
B 68 58 1
B 68 181 1
P 69 0.010
B 69 15 1
B 69 56 1
B 69 70 1
B 69 82 1
B 69 104 1
B 69 121 1
B 69 157 1
B 69 176 1
B 69 188 1
B 69 220 1
P 70 0.010
B 70 4 1
B 70 45 1
B 70 57 1
B 70 67 1
B 70 69 1
B 70 117 1
B 70 121 1
B 70 126 1
B 70 135 1
B 70 143 1
B 70 187 1
P 71 0.010
B 71 18 1
B 71 28 1
B 71 36 2
B 71 77 1
B 71 112 1
B 71 119 2
B 71 181 1
B 71 186 1
P 72 0.010
B 72 16 1
B 72 56 1
B 72 57 1
B 72 62 1
B 72 68 1
B 72 80 1
B 72 88 1
B 72 104 1
B 72 122 1
B 72 130 2
B 72 132 1
B 72 177 1
P 73 0.010
B 73 32 1
B 73 54 1
B 73 90 1
B 73 92 1
B 73 112 1
B 73 114 1
B 73 126 1
B 73 154 1
B 73 155 1
B 73 170 1
B 73 211 1
B 73 230 1
P 74 0.010
B 74 16 1
B 74 85 1
B 74 92 1
B 74 130 1
B 74 173 1
B 74 177 1
P 75 0.010
B 75 21 1
B 75 27 1
B 75 85 1
B 75 121 1
B 75 133 1
P 76 0.010
B 76 34 1
B 76 59 1
B 76 61 1
B 76 115 1
B 76 144 1
B 76 171 1
P 77 0.010
B 77 20 1
B 77 33 1
B 77 52 1
B 77 57 1
B 77 95 1
B 77 103 1
B 77 107 1
B 77 114 1
P 78 0.010
B 78 34 1
B 78 39 2
B 78 77 1
B 78 112 1
B 78 186 1
P 79 0.010
B 79 4 1
B 79 18 1
B 79 22 1
B 79 56 2
B 79 67 1
B 79 87 1
B 79 111 1
B 79 116 1
B 79 129 1
B 79 198 1
P 80 0.010
B 80 8 2
B 80 15 1
B 80 90 1
B 80 120 1
B 80 121 1
P 81 0.010
B 81 13 1
B 81 15 1
B 81 19 2
B 81 56 1
B 81 88 1
B 81 104 1
B 81 107 1
B 81 146 1
B 81 177 1
B 81 183 1
B 81 186 1
B 81 197 1
B 81 203 1
B 81 221 1
P 82 0.010
B 82 15 1
B 82 26 1
B 82 39 1
B 82 89 1
B 82 114 1
B 82 117 1
P 83 0.010
B 83 12 1
B 83 24 1
B 83 27 1
B 83 33 1
B 83 41 1
B 83 61 1
B 83 75 1
B 83 77 1
B 83 187 1
P 84 0.010
B 84 32 1
B 84 59 1
B 84 67 1
B 84 92 1
B 84 138 1
B 84 152 1
P 85 0.010
B 85 21 1
B 85 66 1
B 85 162 1
B 85 184 1
P 86 0.010
B 86 52 1
B 86 66 1
B 86 82 1
B 86 88 1
B 86 89 1
B 86 90 1
B 86 96 1
B 86 121 1
B 86 143 1
B 86 201 1
P 87 0.010
B 87 8 1
B 87 18 1
B 87 53 1
B 87 68 1
B 87 105 1
B 87 117 1
B 87 119 1
B 87 164 1
B 87 186 1
P 88 0.010
B 88 1 1
B 88 9 1
B 88 16 1
B 88 22 1
B 88 32 1
B 88 41 1
B 88 66 1
B 88 88 1
P 89 0.010
B 89 15 1
B 89 21 1
B 89 28 1
B 89 61 1
B 89 113 1
B 89 143 1
B 89 157 1
P 90 0.010
B 90 16 1
B 90 34 1
B 90 35 1
B 90 107 1
B 90 118 1
B 90 121 1
B 90 219 1
