100
P 0 0.010
B 0 4 3
B 0 11 1
B 0 15 1
B 0 16 1
B 0 18 1
B 0 19 1
B 0 20 2
B 0 21 2
B 0 25 2
B 0 26 1
B 0 27 1
B 0 29 1
B 0 32 2
B 0 36 2
B 0 40 1
B 0 41 1
B 0 44 1
B 0 45 1
B 0 50 1
B 0 54 1
B 0 55 1
B 0 56 1
B 0 57 2
B 0 58 1
B 0 59 1
B 0 60 2
B 0 66 1
B 0 67 2
B 0 70 1
B 0 77 1
B 0 81 2
B 0 83 1
B 0 85 2
B 0 87 1
B 0 88 1
B 0 89 1
B 0 91 1
B 0 92 1
B 0 94 1
B 0 104 1
B 0 109 1
B 0 112 1
B 0 113 3
B 0 114 3
B 0 117 1
B 0 118 1
B 0 119 1
B 0 120 3
B 0 121 1
B 0 122 1
B 0 123 1
B 0 128 1
B 0 130 1
B 0 132 2
B 0 135 1
B 0 137 2
B 0 141 1
B 0 143 1
B 0 146 1
B 0 148 2
B 0 153 1
B 0 154 6
B 0 167 2
B 0 173 1
B 0 180 1
B 0 183 1
B 0 187 1
B 0 192 1
B 0 193 4
B 0 194 1
B 0 201 1
B 0 202 1
B 0 205 1
B 0 209 1
B 0 212 1
B 0 216 1
B 0 217 1
B 0 219 1
B 0 223 2
B 0 228 1
P 1 0.010
B 1 27 1
B 1 34 1
B 1 36 1
B 1 52 1
B 1 56 2
B 1 107 1
B 1 119 1
B 1 120 1
B 1 196 1
P 2 0.010
B 2 21 1
B 2 52 1
B 2 62 1
B 2 69 1
B 2 114 1
B 2 131 1
B 2 162 1
B 2 192 1
B 2 207 1
P 3 0.010
B 3 20 1
B 3 32 1
B 3 44 1
B 3 54 1
B 3 64 1
B 3 67 1
B 3 95 1
B 3 114 1
B 3 120 1
B 3 131 1
B 3 171 1
P 4 0.010
B 4 13 1
B 4 23 1
B 4 33 1
B 4 37 1
B 4 61 1
B 4 62 1
B 4 83 1
B 4 95 1
B 4 172 1
P 5 0.010
B 5 65 1
B 5 67 1
B 5 89 1
B 5 157 1
B 5 170 1
B 5 190 1
P 6 0.010
B 6 7 1
B 6 19 1
B 6 33 1
B 6 47 1
B 6 62 1
B 6 88 1
B 6 142 1
B 6 155 1
B 6 186 1
B 6 202 1
B 6 204 1
P 7 0.010
B 7 53 1
B 7 54 1
B 7 110 1
B 7 113 1
B 7 115 1
B 7 118 1
B 7 157 1
B 7 187 2
P 8 0.010
B 8 32 1
B 8 113 1
B 8 122 1
B 8 127 1
B 8 177 1
B 8 183 1
B 8 190 1
B 8 224 1
P 9 0.010
B 9 59 1
B 9 62 1
B 9 88 1
B 9 89 1
B 9 142 1
B 9 177 1
B 9 230 1
P 10 0.010
B 10 16 1
B 10 33 1
B 10 65 1
B 10 72 1
B 10 146 1
B 10 155 1
B 10 172 1
P 11 0.010
B 11 27 2
B 11 29 1
B 11 40 1
B 11 45 1
B 11 82 1
B 11 120 1
B 11 123 1
B 11 183 1
B 11 219 1
P 12 0.010
B 12 32 1
B 12 34 1
B 12 44 1
B 12 64 1
B 12 93 1
B 12 104 1
B 12 114 1
B 12 117 1
B 12 119 1
B 12 134 1
B 12 137 1
B 12 157 1
P 13 0.010
B 13 8 1
B 13 24 1
B 13 29 1
B 13 30 1
B 13 45 1
B 13 55 1
B 13 70 1
B 13 85 1
P 14 0.010
B 14 18 1
B 14 56 1
B 14 59 1
B 14 71 1
B 14 157 1
P 15 0.010
B 15 24 1
B 15 61 1
B 15 82 1
B 15 92 1
P 16 0.010
B 16 21 1
B 16 52 1
B 16 66 1
B 16 107 1
B 16 136 1
B 16 164 1
P 17 0.010
B 17 8 1
B 17 19 1
B 17 32 1
B 17 82 1
B 17 121 1
B 17 168 1
B 17 212 1
P 18 0.010
B 18 25 1
B 18 27 1
B 18 29 1
B 18 36 1
B 18 54 1
B 18 58 1
B 18 61 1
B 18 71 1
B 18 83 1
B 18 89 2
B 18 113 1
B 18 118 1
B 18 122 1
B 18 137 1
P 19 0.010
B 19 18 1
B 19 24 2
B 19 48 1
B 19 54 1
B 19 55 1
B 19 59 1
B 19 71 1
B 19 85 1
B 19 86 1
B 19 127 1
B 19 130 1
B 19 179 1
P 20 0.010
B 20 12 1
B 20 34 1
B 20 52 1
B 20 53 1
B 20 55 1
B 20 57 1
B 20 76 1
B 20 83 1
B 20 114 1
B 20 116 1
B 20 171 1
B 20 181 1
B 20 212 1
P 21 0.010
B 21 7 1
B 21 9 1
B 21 11 1
B 21 40 1
B 21 48 1
B 21 52 1
B 21 90 1
B 21 92 1
B 21 116 1
B 21 118 1
B 21 133 1
B 21 172 1
P 22 0.010
B 22 21 1
B 22 29 1
B 22 95 1
B 22 105 1
B 22 117 1
B 22 121 1
B 22 125 1
B 22 165 1
B 22 169 1
B 22 174 1
P 23 0.010
B 23 19 1
B 23 33 1
B 23 60 1
B 23 117 2
B 23 119 1
B 23 165 1
B 23 168 1
B 23 200 1
B 23 220 1
P 24 0.010
B 24 3 1
B 24 12 1
B 24 21 1
B 24 26 1
B 24 56 1
B 24 60 1
B 24 89 1
B 24 122 1
B 24 164 1
B 24 192 1
B 24 198 1
P 25 0.010
B 25 4 1
B 25 26 1
B 25 32 1
B 25 34 1
B 25 36 3
B 25 45 1
B 25 57 1
B 25 64 1
B 25 68 1
B 25 77 1
B 25 115 1
B 25 118 1
B 25 130 1
B 25 147 1
B 25 172 1
B 25 192 1
P 26 0.010
B 26 28 1
B 26 30 1
B 26 41 1
B 26 52 1
B 26 114 1
B 26 119 1
B 26 130 2
B 26 133 1
B 26 140 1
B 26 151 1
B 26 218 1
P 27 0.010
B 27 15 1
B 27 21 1
B 27 27 1
B 27 33 1
B 27 46 1
B 27 55 1
B 27 67 1
B 27 69 1
B 27 80 1
B 27 83 1
B 27 84 1
B 27 85 1
B 27 88 1
B 27 115 1
B 27 146 1
B 27 184 1
B 27 195 1
B 27 196 1
B 27 205 1
P 28 0.010
B 28 19 1
B 28 33 1
B 28 67 1
B 28 71 1
B 28 87 1
B 28 130 1
B 28 161 1
B 28 206 1
B 28 215 1
P 29 0.010
B 29 15 1
B 29 16 2
B 29 32 1
B 29 79 1
B 29 80 1
B 29 88 1
B 29 127 1
B 29 152 1
B 29 160 1
B 29 192 1
P 30 0.010
B 30 64 1
B 30 66 1
B 30 67 1
B 30 78 1
