100
P 0 0.010
B 0 0 1
B 0 1 1
B 0 10 1
B 0 16 3
B 0 17 1
B 0 22 1
B 0 25 1
B 0 32 1
B 0 33 1
B 0 34 1
B 0 35 1
B 0 38 1
B 0 46 1
B 0 53 1
B 0 55 2
B 0 57 1
B 0 60 1
B 0 64 1
B 0 66 1
B 0 68 2
B 0 69 2
B 0 70 1
B 0 72 1
B 0 75 1
B 0 78 1
B 0 79 1
B 0 80 1
B 0 81 1
B 0 83 1
B 0 84 1
B 0 85 1
B 0 89 1
B 0 91 1
B 0 97 2
B 0 98 1
B 0 104 1
B 0 107 1
B 0 110 2
B 0 123 1
B 0 128 2
B 0 129 2
B 0 136 1
B 0 140 1
B 0 155 2
B 0 159 1
B 0 172 1
B 0 177 2
B 0 178 1
B 0 179 1
B 0 183 2
B 0 187 1
B 0 188 1
B 0 191 1
B 0 192 1
B 0 193 2
B 0 195 1
B 0 197 1
B 0 199 1
B 0 202 1
B 0 215 1
B 0 221 2
B 0 224 1
B 0 227 1
B 0 230 1
B 0 235 1
B 0 238 1
B 0 240 1
B 0 245 1
B 0 246 1
B 0 247 1
B 0 253 1
B 0 255 1
B 0 259 2
B 0 260 1
B 0 262 1
B 0 263 1
B 0 264 1
B 0 268 1
B 0 269 1
B 0 271 1
B 0 277 3
B 0 278 1
B 0 279 3
B 0 281 1
B 0 286 2
B 0 290 2
B 0 292 1
B 0 293 1
B 0 303 1
B 0 306 1
B 0 311 1
B 0 313 1
B 0 321 1
B 0 323 2
B 0 324 1
B 0 325 1
B 0 331 2
B 0 339 1
B 0 341 1
B 0 350 1
B 0 357 1
B 0 358 1
B 0 361 2
B 0 366 1
B 0 370 2
B 0 379 1
B 0 384 1
B 0 385 1
B 0 386 1
B 0 397 1
B 0 401 1
B 0 403 1
B 0 404 2
B 0 405 1
B 0 407 1
B 0 409 2
B 0 410 1
B 0 411 1
B 0 420 1
B 0 424 2
B 0 426 1
B 0 427 1
B 0 451 1
B 0 460 1
B 0 461 2
B 0 471 1
B 0 473 2
B 0 502 1
B 0 503 1
B 0 512 1
B 0 521 1
B 0 524 1
B 0 539 2
B 0 541 2
B 0 542 1
P 1 0.010
B 1 13 1
B 1 16 1
B 1 35 1
B 1 38 1
B 1 51 1
B 1 83 1
B 1 114 1
B 1 174 2
B 1 181 1
B 1 183 1
B 1 188 1
B 1 202 1
B 1 221 1
B 1 228 1
B 1 246 1
B 1 249 1
B 1 257 1
B 1 277 1
B 1 312 1
B 1 331 1
B 1 380 1
B 1 387 1
B 1 409 1
B 1 440 1
B 1 447 1
B 1 454 1
P 2 0.010
B 2 17 1
B 2 36 1
B 2 49 1
B 2 67 1
B 2 84 1
B 2 98 1
B 2 109 1
B 2 130 1
B 2 140 1
B 2 161 1
B 2 196 1
B 2 202 1
B 2 204 1
B 2 211 1
B 2 246 1
B 2 258 2
B 2 267 1
B 2 277 1
B 2 326 1
B 2 331 1
B 2 347 1
B 2 365 1
B 2 378 1
B 2 400 1
B 2 405 1
B 2 409 1
B 2 420 1
B 2 440 1
B 2 448 1
B 2 510 1
B 2 521 1
P 3 0.010
B 3 0 1
B 3 7 1
B 3 17 1
B 3 18 1
B 3 24 1
B 3 74 1
B 3 75 1
B 3 82 1
B 3 121 1
B 3 128 1
B 3 140 1
B 3 194 1
B 3 195 1
B 3 198 1
B 3 205 1
B 3 207 1
B 3 211 1
B 3 221 2
B 3 229 1
B 3 252 1
B 3 255 1
B 3 293 1
B 3 307 1
B 3 312 1
B 3 361 2
B 3 390 1
B 3 395 1
B 3 410 2
B 3 428 1
B 3 455 1
B 3 487 1
B 3 518 1
B 3 537 1
P 4 0.010
B 4 29 1
B 4 31 1
B 4 51 1
B 4 62 1
B 4 74 1
B 4 91 1
B 4 105 1
B 4 114 1
B 4 121 1
B 4 127 1
B 4 129 1
B 4 144 1
B 4 155 1
B 4 156 2
B 4 160 1
B 4 183 1
B 4 198 2
B 4 200 1
B 4 210 2
B 4 216 1
B 4 229 1
B 4 329 1
B 4 342 1
B 4 361 1
B 4 383 1
B 4 414 1
B 4 415 1
B 4 460 1
B 4 482 1
P 5 0.010
B 5 9 1
B 5 17 1
B 5 29 1
B 5 61 1
B 5 67 1
B 5 68 1
B 5 77 1
B 5 78 1
B 5 86 2
B 5 90 1
B 5 95 1
B 5 105 1
B 5 154 1
B 5 159 1
B 5 175 1
B 5 179 1
B 5 188 1
B 5 204 2
B 5 239 1
B 5 258 1
B 5 264 1
B 5 268 1
B 5 277 1
B 5 278 1
B 5 318 1
B 5 332 1
B 5 339 1
B 5 340 1
B 5 370 1
B 5 392 2
B 5 400 1
B 5 413 1
B 5 429 1
B 5 442 1
B 5 474 1
B 5 498 1
B 5 511 1
B 5 529 1
P 6 0.010
B 6 21 1
B 6 32 1
B 6 56 1
B 6 58 1
B 6 60 1
B 6 62 1
B 6 74 1
B 6 83 1
B 6 84 1
B 6 90 1
B 6 117 1
B 6 123 1
B 6 187 1
B 6 188 1
B 6 202 1
B 6 210 2
B 6 234 1
B 6 241 1
B 6 242 1
B 6 251 1
B 6 259 1
B 6 268 1
B 6 292 1
B 6 320 1
B 6 341 1
B 6 542 1
P 7 0.010
B 7 10 1
B 7 21 1
B 7 41 1
B 7 42 1
B 7 54 1
B 7 55 1
B 7 64 1
B 7 65 1
B 7 76 1
B 7 83 1
B 7 125 1
B 7 127 1
B 7 134 1
B 7 148 1
B 7 156 1
B 7 159 1
B 7 219 1
B 7 230 1
B 7 234 1
B 7 240 1
B 7 269 1
B 7 275 1
B 7 288 1
B 7 294 1
B 7 326 1
B 7 328 1
B 7 351 1
B 7 356 1
B 7 361 1
B 7 400 1
B 7 428 1
B 7 458 1
B 7 482 1
B 7 495 1
B 7 521 1
P 8 0.010
B 8 7 2
B 8 17 1
B 8 50 1
B 8 75 1
B 8 111 1
B 8 114 1
B 8 117 1
B 8 135 1
B 8 151 1
B 8 195 1
B 8 204 2
B 8 213 1
B 8 215 1
B 8 250 2
B 8 267 2
B 8 277 1
B 8 305 1
B 8 350 1
B 8 403 1
B 8 422 1
B 8 426 1
B 8 428 1
B 8 451 1
B 8 470 1
B 8 496 1
B 8 530 1
B 8 541 1
P 9 0.010
B 9 38 1
B 9 54 1
B 9 68 1
B 9 69 1
B 9 71 1
B 9 75 1
B 9 87 1
B 9 88 1
B 9 89 1
B 9 117 1
B 9 121 1
B 9 126 1
B 9 146 1
B 9 219 1
B 9 221 1
B 9 233 1
B 9 234 1
B 9 242 1
B 9 254 1
B 9 276 1
B 9 277 1
B 9 286 1
B 9 306 1
B 9 315 1
B 9 324 1
B 9 400 1
B 9 428 1
B 9 470 2
B 9 512 1
B 9 517 1
B 9 522 1
B 9 530 1
P 10 0.010
B 10 5 1
B 10 74 1
B 10 86 1
B 10 90 1
B 10 129 1
B 10 130 1
B 10 174 1
B 10 205 1
B 10 214 1
B 10 216 1
B 10 241 1
B 10 268 1
B 10 285 1
B 10 288 1
B 10 292 1
B 10 388 1
B 10 409 1
B 10 419 1
B 10 438 2
B 10 494 2
B 10 500 1
B 10 535 1
P 11 0.010
B 11 7 1
B 11 46 1
B 11 47 1
B 11 64 1
B 11 76 1
B 11 78 1
B 11 105 1
B 11 117 1
B 11 130 1
B 11 219 1
B 11 221 1
B 11 234 1
B 11 237 1
B 11 253 1
B 11 263 1
B 11 276 1
B 11 279 1
B 11 280 1
B 11 285 1
B 11 318 1
B 11 331 1
B 11 382 1
B 11 398 1
B 11 401 1
B 11 417 1
B 11 449 1
B 11 538 1
P 12 0.010
B 12 17 1
B 12 60 1
B 12 88 1
B 12 110 1
B 12 123 2
B 12 129 1
B 12 131 1
B 12 138 1
B 12 150 1
B 12 160 1
B 12 194 1
B 12 206 1
B 12 207 1
B 12 209 1
B 12 228 1
B 12 241 1
B 12 255 1
B 12 257 1
B 12 269 1
B 12 290 1
B 12 300 1
B 12 302 1
B 12 306 1
B 12 338 1
B 12 341 1
B 12 349 1
B 12 352 1
B 12 353 1
B 12 361 1
B 12 373 1
B 12 379 1
B 12 383 1
B 12 401 1
B 12 403 1
B 12 436 1
B 12 438 1
B 12 440 1
B 12 497 1
P 13 0.010
B 13 1 1
B 13 8 1
B 13 17 1
B 13 27 1
B 13 60 1
B 13 61 1
B 13 62 1
B 13 71 1
B 13 72 1
B 13 119 1
B 13 155 1
B 13 288 1
B 13 297 1
B 13 306 1
B 13 319 1
B 13 321 1
B 13 323 1
B 13 326 1
B 13 344 1
B 13 346 1
B 13 363 1
B 13 399 1
B 13 435 1
B 13 464 1
B 13 501 1
B 13 530 1
P 14 0.010
B 14 7 1
B 14 31 1
B 14 36 1
B 14 41 1
B 14 47 1
B 14 62 2
B 14 70 1
B 14 78 1
B 14 94 1
B 14 101 1
B 14 104 1
B 14 105 1
B 14 107 1
B 14 128 1
B 14 144 1
B 14 177 1
B 14 188 1
B 14 197 1
B 14 200 1
B 14 225 1
B 14 229 1
B 14 286 1
B 14 315 1
B 14 325 1
B 14 327 1
B 14 365 1
B 14 391 1
B 14 403 1
B 14 426 1
B 14 462 1
B 14 470 1
B 14 483 1
B 14 489 1
B 14 506 1
P 15 0.010
B 15 24 1
B 15 77 1
B 15 92 1
B 15 113 1
B 15 121 1
B 15 123 1
B 15 126 1
B 15 127 1
B 15 138 1
B 15 155 1
B 15 160 1
B 15 198 1
B 15 199 1
B 15 207 1
B 15 249 1
B 15 482 1
B 15 513 1
B 15 540 1
P 16 0.010
B 16 38 1
B 16 44 1
B 16 54 1
B 16 61 1
B 16 68 1
B 16 84 1
B 16 85 1
B 16 109 1
B 16 125 1
B 16 126 1
B 16 148 1
B 16 159 1
B 16 160 1
B 16 163 1
B 16 190 1
B 16 198 1
B 16 216 1
B 16 221 1
B 16 258 1
B 16 262 1
B 16 275 2
B 16 282 1
B 16 311 1
B 16 328 1
B 16 370 1
B 16 405 1
B 16 425 1
B 16 450 1
P 17 0.010
B 17 17 1
B 17 21 1
B 17 33 1
B 17 42 1
B 17 49 2
B 17 52 1
B 17 75 1
B 17 79 1
B 17 130 1
B 17 135 1
B 17 153 1
B 17 183 1
B 17 191 2
B 17 193 1
B 17 198 1
B 17 204 1
B 17 211 1
B 17 214 1
B 17 234 2
B 17 246 1
B 17 258 1
B 17 278 1
B 17 353 1
B 17 414 1
B 17 422 1
B 17 458 1
B 17 492 1
B 17 534 1
B 17 541 1
P 18 0.010
B 18 5 1
B 18 24 1
B 18 28 2
B 18 29 1
B 18 59 1
B 18 60 2
B 18 76 1
B 18 86 1
B 18 92 1
B 18 115 1
B 18 117 1
B 18 120 1
B 18 123 1
B 18 124 1
B 18 130 1
B 18 131 1
B 18 152 1
B 18 161 1
B 18 187 1
B 18 188 1
B 18 192 1
B 18 193 1
B 18 211 1
B 18 239 1
B 18 251 1
B 18 272 1
B 18 287 1
B 18 352 1
B 18 379 1
B 18 417 1
B 18 458 2
B 18 470 1
B 18 482 1
B 18 515 1
B 18 518 1
P 19 0.010
B 19 12 1
B 19 21 1
B 19 31 1
B 19 67 1
B 19 79 1
B 19 94 1
B 19 123 1
B 19 135 1
B 19 145 1
B 19 156 1
B 19 197 1
B 19 250 1
B 19 255 1
B 19 258 1
B 19 259 1
B 19 284 1
B 19 326 1
B 19 327 1
B 19 352 1
B 19 363 1
B 19 371 1
B 19 403 1
B 19 414 1
B 19 454 1
B 19 487 1
B 19 523 1
P 20 0.010
B 20 2 1
B 20 22 1
B 20 45 1
B 20 46 1
B 20 64 1
B 20 71 2
B 20 128 1
B 20 142 1
B 20 187 1
B 20 194 1
B 20 196 2
B 20 197 1
B 20 214 1
B 20 215 1
B 20 217 1
B 20 229 1
B 20 239 1
B 20 258 1
